,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital,Reserves,Face Value
0,powergrid,MAR'17,"2,57,165.00","8,649.20","2,65,815.00","31,150.00","2,34,665.00","1,72,326.00","63,038.30","1,09,287.70",0.00,"95,697.60","20,496.10","75,201.50",14.37,"52,315.90",0.00,"4,45,757.00",10.00
1,powergrid,MAR'16,"2,08,022.00","4,789.60","2,12,812.00","24,566.70","1,88,245.00","1,38,015.00","50,229.70","87,785.30",0.00,"76,187.30","15,920.10","60,267.20",11.52,"52,315.90",0.00,"3,75,024.00",10.00
2,powergrid,MAR'15,"1,71,772.00","6,028.10","1,77,800.00","24,259.30","1,53,541.00","1,13,748.00","39,793.20","73,954.80",0.00,"62,893.80","13,102.10","49,791.70",9.52,"52,315.90",0.00,"3,29,350.00",10.00
3,powergrid,MAR'14,"1,52,303.00","4,911.30","1,57,214.00","22,944.60","1,34,270.00","1,02,594.00","31,675.20","70,918.80",0.00,"62,637.50","17,663.30","44,974.20",8.60,"52,315.90",0.00,"2,92,280.00",10.00
4,powergrid,MAR'13,"1,27,578.00","6,448.10","1,34,027.00","18,214.40","1,15,812.00","89,967.80","26,091.40","63,876.40",0.00,"56,448.60","14,103.60","42,345.00",9.15,"46,297.30",0.00,"2,16,097.00",10.00
0,ultracemco,MAR'17,"2,71,624.00","6,599.50","2,78,224.00","2,21,935.00","56,289.00","50,438.20","5,713.90","44,724.30",0.00,"37,759.50","11,482.30","26,277.20",95.74,"2,745.10",0.00,"2,36,665.00",10.00
1,ultracemco,MAR'16,"2,41,074.00","2,351.60","2,43,425.00","1,94,912.00","48,512.80","43,459.90","5,052.90","38,407.00",0.00,"30,569.60","8,823.10","21,746.50",79.25,"2,744.30",0.00,"2,04,617.00",10.00
2,ultracemco,MAR'15,"2,29,362.00","3,717.80","2,33,080.00","1,87,411.00","45,668.10","40,193.60","5,474.50","34,719.10",0.00,"28,862.50","8,715.20","20,147.30",73.44,"2,744.00",0.00,"1,85,833.00",10.00
3,ultracemco,MAR'14,"2,02,798.00","3,290.40","2,06,088.00","1,64,619.00","41,469.40","38,277.70","3,191.70","35,086.00",0.00,"27,755.10","6,310.40","21,444.70",78.20,"2,742.40",0.00,"1,68,233.00",10.00
4,ultracemco,MAR'13,"2,01,749.00","3,050.00","2,04,799.00","1,54,995.00","49,804.80","47,707.70","2,097.10","45,610.60",0.00,"38,254.00","11,699.70","26,554.30",96.85,"2,741.80",0.00,"1,49,606.00",10.00
0,asianpaint,MAR'17,"1,43,604.00","3,009.00","1,46,613.00","1,16,890.00","29,723.40","29,534.80",188.60,"29,346.20",0.00,"26,580.50","8,549.50","18,031.00",18.80,959.20,0.00,"68,550.60",1.00
1,asianpaint,MAR'16,"1,26,459.00","2,253.00","1,28,712.00","1,01,663.00","27,048.60","26,161.10",234.00,"25,927.10",0.00,"23,777.50","7,803.20","15,974.30",16.65,959.20,0.00,"48,672.40",1.00
2,asianpaint,MAR'15,"1,16,488.00","1,868.20","1,18,356.00","96,383.10","21,973.40","21,566.80",271.30,"21,295.50",0.00,"19,335.70","6,061.70","13,274.00",13.84,959.20,0.00,"41,343.40",1.00
3,asianpaint,MAR'14,"1,04,188.00","1,736.60","1,05,924.00","86,415.10","19,509.30","19,148.90",260.80,"18,888.10",0.00,"17,025.70","5,335.10","11,690.60",12.19,959.20,0.00,"35,050.10",1.00
4,asianpaint,MAR'13,"89,717.00","1,261.50","90,978.50","74,244.30","16,734.20","16,428.60",305.60,"16,123.00",0.00,"15,158.80","4,658.80","10,500.00",109.47,959.20,0.00,"29,263.40",10.00
0,bpcl,MAR'17,"24,20,480.00","26,006.80","24,46,480.00","23,12,190.00","1,34,300.00","1,29,341.00","4,958.70","1,24,382.30",0.00,"1,10,428.00","30,034.90","80,393.00",61.31,"13,112.50",0.00,"2,83,571.00",10.00
1,bpcl,MAR'16,"18,93,030.00","20,121.60","19,13,150.00","17,82,470.00","1,30,684.00","1,25,055.00","5,629.40","1,19,425.60",0.00,"1,06,512.00","32,193.00","74,318.80",102.78,"7,230.80",0.00,"2,64,356.00",10.00
2,bpcl,MAR'15,"23,80,870.00","21,999.60","24,02,870.00","22,97,720.00","1,05,146.00","99,315.30","5,831.00","93,484.30",0.00,"74,155.10","23,310.00","50,845.10",70.32,"7,230.80",0.00,"2,17,444.00",10.00
3,bpcl,MAR'14,"26,00,610.00","14,686.60","26,15,290.00","25,19,740.00","95,548.80","81,958.00","13,590.80","68,367.20",0.00,"59,489.80","18,881.00","40,608.80",56.16,"7,230.80",0.00,"1,87,357.00",10.00
4,bpcl,MAR'13,"24,01,160.00","16,802.30","24,17,960.00","23,40,090.00","77,870.30","59,617.90","18,252.40","41,365.50",0.00,"40,356.90","13,927.90","26,429.00",36.55,"7,230.80",0.00,"1,59,109.00",10.00
0,sesagoa,MAR'17,"3,85,404.00","97,049.20","4,82,453.00","3,18,890.00","1,63,564.00","1,37,843.00","38,961.60","98,881.40",0.00,"1,07,980.00","-2,706.90","1,10,687.00",25.72,"2,965.00",0.00,"7,93,964.00",1.00
1,sesagoa,MAR'16,"2,98,106.00","88,238.20","3,86,344.00","2,59,048.00","1,27,296.00","66,978.70","35,413.60","31,565.10",0.00,"54,799.00",80.20,"54,718.80",18.45,"2,965.00",0.00,"3,82,147.00",1.00
