stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x),close_price
ADANIPORTS,31-Mar-16,"46,307.50","10,777.30","57,084.80","13,360.20","43,724.60","34,456.60","9,268.00","25,188.60","28,415.80",821.5,13.72,1,65.51,178.92,55,"4,619.17","1,311.90",10.65,23.98,15.41,17.3,14.72,3.78,0.44,11.11,0,247.7
ADANIPORTS,31-Mar-15,"39,093.60","7,995.00","47,088.60","13,019.40","34,069.20","26,367.90","7,701.30","18,666.60","21,831.40",-349.7,10.55,2,53.89,157.56,55,"3,909.36","1,301.94",9.35,21.38,13.9,29.21,23.87,5.72,0.36,16.31,0,308.2
ADANIPORTS,31-Mar-14,"43,457.80","6,797.50","50,255.30","17,817.00","32,438.30","26,659.60","5,778.70","20,880.90","20,161.70","1,940.80",9.74,3,44.79,117,50,"4,350.26","1,612.47",10.3,25.25,17.83,19.25,15.7,4.19,0.53,8.92,0,187.45
ADANIPORTS,01-Jul-13,"33,610.50","2,032.40","35,642.90","9,332.40","26,310.50","22,315.70","3,994.80","18,320.90","17,541.80","1,350.10",8.76,4,33.45,104.38,50,"3,361.05",890.82,11.16,29.43,17.6,15.85,13.26,4.15,0.72,8.27,0,151.55
BAJAJ-AUTO,31-Mar-17,"2,30,880.00","12,219.70","2,43,100.00","1,86,657.00","56,443.20","56,429.20",14,"56,415.20","38,275.60","15,080.70",132.3,0,588.66,960.52,550,"21,766.68","17,345.57",20.52,25.26,34.95,21.23,19.65,4.77,1.96,3.73,0,"2,805.45"
BAJAJ-AUTO,31-Mar-16,"2,26,876.00","9,132.70","2,36,009.00","1,79,080.00","56,928.20","56,923.40",4.8,"56,918.60","36,524.10","17,327.70",126.2,1,458.46,883.42,550,"22,586.52","17,804.58",24.52,32.8,45.88,17.72,16.43,5.25,2.29,3.08,0,"2,405.95"
BAJAJ-AUTO,31-Mar-15,"2,16,120.00","5,824.20","2,21,944.00","1,74,955.00","46,989.70","43,521.90",64.9,"43,457.00","28,137.40","12,710.50",97.2,2,369.5,865.24,500,"21,612.01","17,503.19",18.57,27.72,39.97,20.75,18.97,5.46,2.48,2.7,0,"2,016.60"
BAJAJ-AUTO,31-Mar-14,"2,01,495.00","7,064.10","2,08,559.00","1,60,438.00","48,121.50","48,116.60",4.9,"48,111.70","32,433.20","13,887.30",112.08,3,332.03,696.48,500,"20,149.51","16,078.77",23.83,37.05,52.47,18.54,17.58,6.26,2.41,2.98,0,"2,083.60"
BAJAJ-AUTO,01-Jul-13,"1,99,972.00","7,954.90","2,07,927.00","1,63,620.00","44,307.40","44,302.00",5.4,"44,296.60","30,435.70","12,226.60",105.18,4,273.07,611.76,450,"19,997.25","16,422.30",25.83,43.66,60.28,17.07,16.2,6.57,2.51,2.6,0,"1,922.90"
YESBANK,31-Mar-17,"1,64,246.00","41,567.60","2,05,814.00","41,165.40","58,375.20",0,"1,06,273.00","-1,06,273.00","33,300.90","17,140.20",78.89,0,0,,0,,,1.75,18.58,14.08,21.23,20.2,3.21,0.77,4.31,0.05,"1,546.75"
YESBANK,31-Mar-16,"1,35,334.00","27,121.50","1,62,456.00","29,763.70","43,025.00",0,"89,667.20","-89,667.20","25,394.50","12,267.50",60.62,1,0,,0,,,1.68,19.94,13.33,14.32,13.72,2.64,1.16,2.69,0.05,865.05
YESBANK,31-Mar-15,"1,15,720.00","20,464.60","1,36,185.00","22,847.10","32,495.80",0,"80,841.70","-80,841.70","20,053.60","9,047.50",49.34,2,0,,0,,,1.64,21.33,13.44,17.01,16.32,2.92,1.1,2.95,0.06,815.75
YESBANK,31-Mar-14,"99,813.50","17,215.80","1,17,029.00","17,498.70","26,879.70","23,262.80","72,650.90","-49,388.10","16,177.80","7,085.00",44.92,3,0,,0,,,1.55,25.02,14.4,9.22,8.87,2.09,1.93,1.49,0.06,413.95
YESBANK,01-Jul-13,"82,940.00","12,574.30","95,514.30","13,345.40","21,416.80","19,257.30","60,752.10","-41,494.80","13,006.80","6,250.50",36.53,4,0,,0,,,1.51,24.81,15.09,11.82,11.36,2.65,1.4,1.85,0.05,470.15
HEROMOTOCO,31-Mar-17,"3,08,461.00","5,224.30","3,13,686.00","2,62,113.00","51,572.40","51,511.90",60.5,"51,451.40","33,771.20","12,813.40",169.12,0,506.13,"1,396.01","4,250.00","28,474.99","23,840.18",23.04,35.66,49.24,19.06,16.64,6.37,2.64,2.26,0,"3,221.95"
HEROMOTOCO,31-Mar-16,"2,85,993.00","3,911.20","2,89,904.00","2,41,523.00","48,381.30","48,359.80",21.5,"48,338.30","31,323.70","12,622.10",156.86,1,442.32,"1,315.93","3,600.00","28,442.70","23,987.73",26.35,41.11,57.75,18.6,16.34,6.65,2.45,2.07,0,"2,945.70"
HEROMOTOCO,31-Mar-15,"2,75,853.00","4,927.40","2,80,780.00","2,40,431.00","40,349.20","38,687.90",110.9,"38,577.00","23,856.40","9,431.80",119.46,2,327.52,"1,172.87","3,000.00","27,585.30","24,133.90",23.34,39.3,53.76,22.12,18.04,8.07,2.27,1.91,0,"2,639.80"
HEROMOTOCO,31-Mar-14,"2,52,755.00","4,463.80","2,57,218.00","2,17,354.00","39,864.40","39,746.20",118.2,"39,628.00","21,090.80","7,581.70",105.61,3,280.41,930.04,"3,250.00","25,275.47","21,828.26",21.49,39.77,48.66,21.52,14.11,8.11,2.86,1.8,0,"2,274.80"
HEROMOTOCO,01-Jul-13,"2,37,681.00","3,983.80","2,41,665.00","2,04,836.00","36,828.60","36,709.50",119.1,"36,590.40","21,181.60","4,110.40",106.07,4,250.69,820.92,"3,000.00","23,768.11","20,577.08",21.69,45.57,42.46,14.54,9.45,6.15,3.89,1.3,0,"1,698.60"
TATASTEEL,31-Mar-17,"5,32,610.00","4,144.60","5,36,754.00","4,13,850.00","1,22,904.00","88,984.80","26,885.50","62,099.30","34,445.50","19,123.80",33.67,0,0,"4,605.13",100,"47,993.02","36,190.93",0,0,0,0,6.71,1.02,0,0,0,482.7
TATASTEEL,31-Mar-16,"3,82,103.00","38,907.00","4,21,010.00","3,09,986.00","1,11,024.00","80,596.30","14,602.70","65,993.60","49,009.50","12,255.70",48.67,1,0,"4,319.89",80,"38,221.49","30,610.91",0,0,0,0,7.92,0.63,0,0,0,319.7
TATASTEEL,31-Mar-15,"4,17,850.00","5,827.80","4,23,678.00","3,17,762.00","1,05,916.00","1,05,065.00","19,759.50","85,305.50","64,391.20","20,697.70",64.49,2,684.62,"4,601.92",80,"41,785.00","31,853.61",5.67,10.11,11.15,4.78,3.65,0.46,2.52,0.74,0,316.75
TATASTEEL,31-Mar-14,"4,17,110.00","7,876.40","4,24,987.00","2,88,941.00","1,36,045.00","1,16,422.00","18,205.80","98,216.20","64,121.90","33,013.10",66.01,3,627.59,"3,673.08",100,"41,711.03","28,960.75",6.01,11.05,13.11,5.97,4.59,0.63,2.54,0.92,0,393.95
TATASTEEL,01-Jul-13,"3,81,994.00","9,020.40","3,91,015.00","2,70,732.00","1,20,283.00","94,769.80","18,767.70","76,002.10","50,629.70","27,736.30",52.12,4,566.94,"3,602.27",80,"38,199.43","27,204.12",5.1,9.46,11.75,5.99,4.52,0.55,2.56,0.79,0,280.7
ZEEL,31-Mar-17,"49,283.70","3,471.40","52,755.10","34,233.90","18,521.20","17,726.90","1,264.50","16,462.40","10,340.60","6,615.20",10.77,0,46.06,288.9,250,"4,928.40","3,423.40",15.25,25.76,31.27,49.64,46.19,11.61,0.47,10.41,0,535.55
ZEEL,31-Mar-16,"42,065.00","2,226.60","44,291.60","30,306.20","13,985.40","13,957.80",27.6,"13,930.20","8,593.30","4,688.10",7.43,1,37.58,301.5,225,"4,206.50","3,117.60",11.22,21.31,25.79,56.36,51.66,10.28,0.58,8.82,0,386.95
ZEEL,31-Mar-15,"34,261.80","2,272.90","36,534.70","23,814.90","12,719.80","12,702.10",17.7,"12,684.40","8,317.70","3,804.70",7.15,2,26.75,272.9,225,"3,426.20","2,393.90",16.2,36.81,28.36,46.16,36.87,12.77,0.66,9.57,0,341.75
ZEEL,31-Mar-14,"30,756.70","1,845.60","32,602.30","20,442.00","12,160.30","12,088.50",71.8,"12,016.70","7,723.30","4,026.90",8.04,3,20.32,217.3,200,"3,075.70","2,045.20",17.76,29.12,32.27,34.15,32.35,13.37,0.74,8.48,0,271.35
ZEEL,01-Jul-13,"25,658.80","1,189.70","26,848.50","17,036.00","9,812.50","9,799.20",13.3,"9,785.90","6,406.90","3,112.00",6.72,4,35.14,184.8,200,"2,565.90","1,703.60",17.08,20.19,30.01,31.38,30.07,6,0.95,7.84,0,247.6
LUPIN,31-Mar-17,"1,27,532.00",884.7,"1,28,416.00","82,670.30","45,745.90","45,451.70",294.2,"45,157.50","31,413.30","10,377.30",69.63,0,323.44,"1,403.03",375,"12,753.15","8,267.03",19.58,23.79,30.41,20.77,18.6,4.47,0.52,5.12,0,"1,445.20"
LUPIN,31-Mar-16,"1,12,801.00","1,938.80","1,14,740.00","72,480.10","42,259.40","42,111.60",147.8,"41,963.80","28,850.70","10,204.80",64.1,1,261.84,"1,218.09",375,"11,343.77","7,356.77",22.43,27.26,36.19,23.56,21.27,5.65,0.51,5.88,0,"1,479.25"
LUPIN,31-Mar-15,"97,524.70","1,806.30","99,331.00","63,792.20","35,538.80","35,489.80",49,"35,440.80","23,973.50","8,148.40",53.41,2,199.59,"1,052.55",375,"9,752.47","6,379.22",24.21,30.11,39.73,37.63,33,10.06,0.37,9.25,0,"2,008.40"
LUPIN,31-Mar-14,"89,393.80","4,153.80","93,547.60","60,270.50","33,277.10","33,067.20",209.9,"32,857.30","23,242.20","8,148.70",51.83,3,155.06,844.32,300,"8,939.38","6,027.05",29.34,39.42,50.01,18.06,16.84,6.04,0.64,4.69,0,933.15
LUPIN,01-Jul-13,"71,225.10",233.1,"71,458.20","52,385.90","19,072.30","18,739.50",332.8,"18,406.70","12,604.30","4,633.80",28.16,4,108.14,726.44,200,"7,122.51","5,238.59",19.09,29.41,33.96,22.34,19.96,5.82,0.64,3.95,0,777.15
CIPLA,31-Mar-17,"1,09,746.00","1,298.50","1,11,044.00","93,783.20","17,261.10","16,869.10",392,"16,477.10","9,749.40","2,120.00",12.13,0,158.37,"1,728.97",100,"10,768.49","9,172.23",6.33,7.91,9.34,48.88,32.31,3.74,0.34,4.43,0,592.95
CIPLA,31-Mar-16,"1,20,341.00","2,591.40","1,22,932.00","99,803.40","23,128.60","21,803.40","1,325.20","20,478.20","13,980.30","3,415.00",17.41,1,148.08,"1,778.56",100,"11,950.69","9,897.26",9.13,12.77,14.79,28.14,21.6,3.46,0.39,3.44,0,511.95
CIPLA,31-Mar-15,"1,01,318.00","1,479.10","1,02,797.00","81,704.70","21,092.20","19,731.70","1,360.50","18,371.20","11,810.90","3,588.80",14.71,2,137.12,"1,499.63",100,"10,131.78","8,170.47",7.62,11.21,14.31,48.35,35.38,5.19,0.28,5.64,0,712.45
CIPLA,31-Mar-14,"93,802.90","2,802.80","96,605.70","73,907.60","22,698.10","21,419.50","1,278.60","20,140.90","13,883.40","4,300.00",17.29,3,125.31,"1,284.75",100,"9,456.90","7,467.37",10.53,14.67,18.73,22.19,18,3.06,0.52,3.26,0,382.8
CIPLA,01-Jul-13,"82,024.20","2,291.30","84,315.50","60,832.80","23,482.70","23,148.90",333.8,"22,815.10","15,071.10","5,047.50",18.77,4,110.36,969.28,100,"8,202.42","6,083.28",13.92,18.38,23.53,20.23,16.84,3.44,0.53,3.72,0,397.75
TECHM,31-Mar-17,"2,31,654.00","8,929.40","2,40,583.00","1,94,936.00","45,647.30","45,009.40",637.9,"44,371.50","30,473.30","8,314.00",31.37,0,167.89,"7,744.40",180,"23,165.40","19,860.70",13.78,19.8,22.64,14.68,12.19,2.74,1.96,1.93,0,459.15
TECHM,31-Mar-16,"2,09,698.00","11,084.30","2,20,782.00","1,75,561.00","45,221.00","44,687.80",533.2,"44,154.60","32,200.00","7,033.00",33.4,1,149.29,"7,429.00",240,"20,969.80","17,703.20",17.04,25.1,28.36,14.49,12.38,3.18,2.52,2.19,0,474.95
TECHM,31-Mar-15,"1,91,626.00","3,246.20","1,94,873.00","1,61,362.00","33,510.40","34,037.50",85.6,"33,951.90","22,562.30","6,742.30",23.58,2,112.87,"7,201.20",120,"19,162.70","16,256.30",14.48,23.49,29.55,26.81,22.22,5.58,0.95,3.16,0,629.7
TECHM,31-Mar-14,"1,62,951.00","3,130.30","1,66,082.00","1,29,765.00","36,316.50","36,648.20",770.8,"35,877.40","26,854.70","5,523.70",115.02,3,358.44,"6,971.50",200,"16,295.10","13,170.60",24.87,43.11,45.9,3.9,13.46,5.01,1.11,2.57,0,"1,795.35"
TECHM,01-Jul-13,"60,018.90",339.5,"60,358.40","49,681.00","10,677.40","9,742.30",935.1,"8,807.20","6,525.20","1,647.00",50.93,4,319.34,"2,513.80",50,"6,001.90","4,954.70",9.71,17.43,18.24,5.2,16.76,3.32,0.47,2.26,0,"1,034.45"
DRREDDY,31-Mar-17,"97,198.00","5,912.00","1,03,110.00","79,742.00","23,368.00","22,796.00",572,"22,224.00","13,841.00","1,604.00",83.05,0,694.83,"1,803.30",400,"9,719.80","7,974.20",8.17,11.78,11,31.53,20.6,3.79,0.76,4.49,0,"2,632.35"
DRREDDY,31-Mar-16,"1,02,077.00","2,448.00","1,04,525.00","78,037.00","26,488.00","22,291.00",638,"21,653.00","13,545.00","2,255.00",79.42,1,702.69,"1,693.40",400,"10,291.90","8,226.60",7.5,12.2,12.04,37.67,25.58,4.32,0.66,5.03,0,"3,035.20"
DRREDDY,31-Mar-15,"1,00,109.00","2,228.50","1,02,338.00","76,199.40","26,138.50","25,500.50",638,"24,862.50","16,793.50","3,804.70",98.6,2,618.75,"1,490.90",400,"10,011.00","7,619.90",9.37,16.97,16.49,35.39,27.39,5.64,0.57,5.94,0,"3,488.75"
DRREDDY,31-Mar-14,"97,280.50","1,514.60","98,795.10","69,663.10","29,132.00","28,348.90",783.1,"27,565.80","19,328.40","5,215.50",113.63,3,543.33,"1,419.90",360,"9,728.00","7,004.50",12.7,22.79,23.15,22.55,18.84,4.71,0.7,4.48,0,"2,563.90"
DRREDDY,01-Jul-13,"84,340.10","1,417.10","85,757.20","64,483.40","21,273.80","20,659.80",614,"20,045.80","12,654.70","4,876.60",74.51,4,454.35,"1,138.10",300,"8,434.00","6,448.30",9.98,17.6,20.01,23.7,19,3.89,0.85,3.56,0,"2,263.80"
TATAPOWER,31-Mar-17,"72,180.60","9,138.30","81,318.90","51,084.20","30,234.70","11,403.40","12,956.80","-1,553.40","2,834.50","2,226.80",0.63,0,53.61,660.8,130,"7,202.25","5,184.21",0.76,1.94,6.01,86.35,26.67,1.69,1.44,3.4,0,90.35
TATAPOWER,31-Mar-16,"88,196.50","5,551.30","93,747.80","57,787.30","35,960.50","18,321.70","11,559.90","6,761.80","7,716.20","3,949.00",2.36,1,54.61,648.47,130,"8,690.51","6,241.27",3.97,8.95,10.37,12.9,8.92,1.18,2.01,2.01,0,64.65
TATAPOWER,31-Mar-15,"86,776.90","10,246.80","97,023.70","65,639.70","31,384.00","20,909.40","10,474.60","10,434.80","10,102.90","5,053.60",3.3,2,54.86,686.52,130,"8,250.19","6,563.97",3.15,7.11,9.58,20.64,13.15,1.35,1.69,2.53,0,77.1
TATAPOWER,31-Mar-14,"86,270.40","6,557.60","92,828.00","63,362.90","29,465.10","20,783.00","8,682.10","12,100.90","9,540.80","5,370.80",4.02,3,51.64,544.95,125,"8,675.53","6,384.78",3.25,7.58,9.57,21.09,13.05,1.56,1.47,2.32,0,85.15
TATAPOWER,01-Jul-13,"95,672.80","7,216.70","1,02,890.00","75,432.20","27,457.30","20,674.80","6,782.50","13,892.30","10,246.90","6,786.90",4.32,4,48.98,547.6,115,"9,567.28","7,537.93",3.86,8.51,10.6,21.54,16.47,1.87,1.19,2.39,0,88.65
