stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x),close_price
ITC,31-Mar-16,"3,68,374.00","18,037.40","3,86,411.00","2,25,992.00","1,60,420.00","1,59,928.00",491.3,"1,59,436.70","98,447.10","51,136.80",12.26,1,50.27,"2,331.59",850,"36,582.67","22,904.14",19.8,26.23,40.05,18.87,25.56,6.53,2.59,7.22,0,328.25
ITC,31-Mar-15,"3,65,074.00","15,431.30","3,80,505.00","2,30,338.00","1,50,167.00","1,49,593.00",574.2,"1,49,018.80","96,077.30","43,897.90",12.05,2,38.28,"1,780.04",625,"36,507.40","23,083.14",23.03,33.77,49.38,27.15,24.68,8.5,1.92,7.15,0,325.85
ITC,31-Mar-14,"3,32,386.00","11,071.40","3,43,457.00","2,07,838.00","1,35,620.00","1,35,590.00",29.5,"1,35,560.50","87,852.10","38,739.00",11.09,3,32.95,"1,608.37",600,"33,238.60","20,763.08",23.99,36.27,52.2,31.95,28.98,10.71,1.7,8.45,0,352.85
ITC,01-Jul-13,"2,99,013.00","9,387.00","3,08,400.00","1,92,738.00","1,15,662.00","1,14,797.00",864.7,"1,13,932.30","74,183.90","32,657.90",9.45,4,28.14,"1,387.01",525,"29,901.27","19,282.72",23.55,36.21,52.45,32.92,29.74,10.98,1.7,8.17,0,325.95
HDFC,31-Mar-17,"3,21,111.00","10,485.40","3,31,596.00","14,808.00","3,16,788.00","1,07,826.00","2,08,962.00","-1,01,136.00","74,426.40","32,840.00",46.08,0,249.23,388.8,900,"33,112.79","1,466.90",2.38,20.21,10.71,32.07,31.83,6.03,1.2,7.21,0,"1,502.10"
HDFC,31-Mar-16,"2,92,573.00","16,992.60","3,09,566.00","14,196.80","2,95,369.00","1,01,624.00","1,93,745.00","-92,121.00","70,931.00","30,150.00",44.43,1,215.65,349.09,850,"30,905.12","1,385.04",2.61,21.81,11.54,24.62,24.44,5.13,1.54,5.65,0,"1,105.60"
HDFC,31-Mar-15,"2,74,012.00",697,"2,74,709.00","8,418.50","2,66,290.00","86,539.20","1,79,751.00","-93,211.80","59,901.40","26,340.00",38.13,2,196.67,328.46,750,"27,401.16",841.85,2.5,20.33,11.78,34.47,34.3,6.67,1.14,7.54,0,"1,315.70"
HDFC,31-Mar-14,"2,41,430.00",546.6,"2,41,977.00","6,961.90","2,35,015.00","74,721.10","1,60,294.00","-85,572.90","54,402.40","20,000.00",34.86,3,179.14,279.18,700,"24,143.01",696.19,2.59,20.61,11.87,25.35,25.2,4.93,1.58,5.71,0,883.9
HDFC,01-Jul-13,"2,11,125.00",351.2,"2,11,476.00","6,603.00","2,04,873.00","65,964.30","1,38,909.00","-72,944.70","48,483.40","17,245.00",31.35,4,161.32,246.19,625,"21,112.50",660.3,2.68,22.07,11.97,26.34,26.21,5.12,1.51,6.05,0,889.65
SBIN,31-Mar-17,"17,55,180.00","3,54,609.00","21,09,790.00","4,64,728.00","5,08,479.00",0,"11,36,580.00","-11,36,580.00","1,04,841.00","43,710.60",13.43,0,0,,0,,,0.41,6.97,4.71,22.25,18.26,1.49,0.89,1.33,0.06,293.4
SBIN,31-Mar-16,"16,36,850.00","2,81,584.00","19,18,440.00","4,17,824.00","4,32,578.00","1,37,741.00","10,68,030.00","-9,30,289.00","99,506.50","38,234.10",12.98,1,0,,0,,,0.45,7.3,5.42,15.16,12.95,1.05,1.34,0.92,0.07,194.25
SBIN,31-Mar-15,"15,23,970.00","2,25,759.00","17,49,730.00","3,86,776.00","3,89,135.00",0,"9,73,818.00","-9,73,818.00","1,31,016.00","62,123.90",17.55,2,0,,0,,,0.68,10.62,8.68,15.21,14.02,1.55,1.31,1.31,0.07,267.05
SBIN,31-Mar-14,"13,63,510.00","1,85,529.00","15,49,040.00","3,57,258.00","3,21,092.00","1,61,739.00","8,70,686.00","-7,08,947.00","1,08,912.00","52,827.20",156.76,3,0,,0,,,0.65,10.03,8.82,1.31,11.71,1.21,1.56,1.05,0.06,"1,917.70"
SBIN,01-Jul-13,"11,96,570.00","1,60,348.00","13,56,920.00","2,92,844.00","3,10,817.00","1,99,509.00","7,53,258.00","-5,53,749.00","1,41,050.00","58,459.10",210.06,4,0,,0,,,0.97,15.43,11.61,1.01,9.3,1.43,2,1.18,0.05,"2,015.60"
HINDUNILVR,31-Mar-17,"3,44,870.00","5,260.00","3,50,130.00","2,84,400.00","65,730.00","67,920.00",220,"67,700.00","44,900.00","19,060.00",20.75,0,29.91,"1,620.00","1,700.00","31,890.00","25,843.00",31.68,70.73,100.53,43.77,40.22,30.42,1.87,6.16,0,911.75
HINDUNILVR,31-Mar-16,"3,19,872.00","5,006.30","3,24,878.00","2,62,572.00","62,305.50","61,913.40",1.8,"61,911.60","40,823.70","17,882.20",18.87,1,28.87,"1,573.00","1,600.00","31,061.00","25,312.00",30.43,83.43,119.18,45.4,42.13,30.12,1.84,6.05,0,869.5
HINDUNILVR,31-Mar-15,"3,08,056.00","6,183.90","3,14,240.00","2,55,974.00","58,266.30","64,741.10",168.2,"64,572.90","43,152.60","18,721.60",19.95,2,17.02,"1,578.89","1,500.00","30,805.62","25,620.10",32.85,124.81,177.25,43.76,41.04,51.3,1.72,6.13,0,873.55
HINDUNILVR,31-Mar-14,"2,80,191.00","6,210.30","2,86,402.00","2,35,439.00","50,962.90","52,889.40",360.3,"52,529.10","38,674.90","11,609.00",17.88,3,14.95,"1,435.95","1,300.00","28,019.13","23,574.95",32.04,131.8,170.24,33.76,31.63,40.37,2.15,4.66,0,605.55
HINDUNILVR,01-Jul-13,"2,58,102.00","6,069.00","2,64,171.00","2,18,065.00","46,106.50","51,939.00",251.5,"51,687.50","37,966.70","11,612.10",17.56,4,12.19,"1,318.34","1,850.00","25,810.21","21,817.79",34.43,124.25,161.12,26.55,25,38.25,3.97,3.91,0,587.4
INFY,31-Mar-17,"5,92,890.00","30,620.00","6,23,510.00","4,20,820.00","2,02,690.00","2,02,690.00",0,"2,02,690.00","1,38,180.00","51,200.00",60.16,0,295.72,"30,944.00",515,"59,289.00","42,082.00",18.2,21.43,29.34,16.96,15.47,3.45,2.52,3.95,0,"1,022.25"
INFY,31-Mar-16,"5,39,830.00","30,090.00","5,69,920.00","3,82,200.00","1,87,720.00","2,18,080.00",0,"2,18,080.00","1,57,860.00","49,070.00",68.73,1,266,"28,207.00",485,"53,983.00","38,319.00",18.99,23.26,32.25,22.03,20.25,4.58,1.99,5.18,0,"1,218.30"
INFY,31-Mar-15,"4,73,000.00","33,370.00","5,06,370.00","3,33,380.00","1,72,990.00","1,77,110.00",0,"1,77,110.00","1,21,640.00","46,340.00",105.91,2,418.69,"25,115.00","1,190.00","47,300.00","33,330.00",21.42,26.98,37.28,10.46,19.46,5.29,2.68,5.38,0,"2,218.35"
