,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
4,85.65,-1.46,364.10,100.00,267.58,"4,281.45",592.55,19.06,324.97,"3,707.96",MAR'12,auropharma
0,167.89,31.30,"7,744.40",180.00,63.80,"23,165.40","4,564.70","1,260.00","4,500.90","19,860.70",MAR'17,techm
1,149.29,32.81,"7,429.00",240.00,53.30,"20,969.80","4,471.30","1,204.70","4,418.00","17,703.20",MAR'16,techm
2,112.87,23.48,"7,201.20",120.00,47.90,"19,162.70","3,382.80",476.40,"3,334.90","16,256.30",MAR'15,techm
3,358.44,115.01,"6,971.50",200.00,86.80,"16,295.10","3,631.60",507.10,"3,544.80","13,170.60",MAR'14,techm
4,319.34,50.94,"2,513.80",50.00,109.00,"6,001.90","1,083.20",36.00,974.20,"4,954.70",MAR'13,techm
0,694.83,83.48,"1,803.30",400.00,57.20,"9,719.80","2,336.80",591.20,"2,279.60","7,974.20",MAR'17,drreddy
1,702.69,80.56,"1,693.40",400.00,64.10,"10,291.90","2,390.20",324.90,"2,326.10","8,226.60",MAR'16,drreddy
2,618.75,98.56,"1,490.90",400.00,63.80,"10,011.00","2,613.90",222.80,"2,550.10","7,619.90",MAR'15,drreddy
3,543.33,113.56,"1,419.90",360.00,78.30,"9,728.00","2,913.20",189.70,"2,834.90","7,004.50",MAR'14,drreddy
4,454.35,74.53,"1,138.10",300.00,61.40,"8,434.00","2,127.40",141.70,"2,066.00","6,448.30",MAR'13,drreddy
0,0.00,0.00,,0.00,,,,"6,758.06",,,MAR'17,bankbaroda
1,0.00,0.00,,0.00,,,,"4,998.86",,,MAR'16,bankbaroda
2,0.00,0.00,,0.00,,,,"4,402.00",,,MAR'15,bankbaroda
3,0.00,0.00,,0.00,,,,"4,462.74",,,MAR'14,bankbaroda
4,0.00,0.00,,0.00,,,,"3,630.62",,,MAR'13,bankbaroda
0,461.22,32.08,778.31,170.00,72.87,"11,158.34","1,529.71",118.67,"1,456.84","9,747.30",DEC'16,accltd
1,449.69,31.51,769.87,170.00,67.32,"11,796.83","1,656.52",128.67,"1,589.20","10,268.98",DEC'15,accltd
2,438.64,62.23,746.59,340.00,82.76,"11,738.21","1,775.54",285.94,"1,692.78","10,248.61",DEC'14,accltd
3,416.76,58.36,661.27,300.00,113.55,"11,149.61","1,914.46",293.13,"1,800.91","9,528.28",DEC'13,accltd
4,393.21,56.52,616.65,300.00,189.26,"11,357.96","2,535.01",339.43,"2,345.75","9,162.38",DEC'12,accltd
0,53.61,1.05,660.80,130.00,"1,295.68","7,202.25","3,087.47","1,069.43","1,791.79","5,184.21",MAR'17,tatapower
1,54.61,5.01,648.47,130.00,"1,146.12","8,690.51","3,484.87","1,035.63","2,338.75","6,241.27",MAR'16,tatapower
2,54.86,3.74,686.52,130.00,"1,047.46","8,250.19","3,138.40","1,452.18","2,090.94","6,563.97",MAR'15,tatapower
3,51.64,4.02,544.95,125.00,868.21,"8,675.53","2,946.51",655.76,"2,078.30","6,384.78",MAR'14,tatapower
4,48.98,4.32,547.60,115.00,684.41,"9,567.28","2,751.89",722.54,"2,067.48","7,537.93",MAR'13,tatapower
