,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
0,304.28,42.83,"7,637.09",140.00,"3,016.18","3,51,124.03","22,344.22","5,309.44","19,328.04","3,34,089.25",MAR'16,ioc
1,279.56,21.72,"7,104.78",66.00,"3,458.47","4,38,094.13","14,314.33","5,553.86","10,855.86","4,29,333.66",MAR'15,ioc
2,271.56,28.91,"6,618.97",87.00,"5,120.99","4,73,657.78","19,059.79","3,466.97","13,938.80","4,58,064.97",MAR'14,ioc
3,251.70,20.61,"7,271.27",62.00,"6,479.48","4,47,401.03","17,328.27","3,590.29","10,848.79","4,33,663.06",MAR'13,ioc
4,238.31,16.29,"4,976.96",50.00,"5,642.80","3,98,476.63","21,972.72","4,837.90","16,329.92","3,81,341.81",MAR'12,ioc
0,252.19,-24.83,"1,738.50",20.00,"5,254.60","62,276.30","26,219.30","2,526.40","20,964.70","38,583.40",MAR'17,bhartiartl
1,278.55,19.46,"1,864.80",27.20,"3,545.30","60,300.30","24,054.90","1,743.70","20,509.60","37,989.10",MAR'16,bhartiartl
2,195.21,33.02,"1,691.50",77.00,"1,409.10","55,496.40","24,624.10","5,193.00","23,215.00","36,065.30",MAR'15,bhartiartl
3,166.33,16.51,"1,648.10",36.00,"1,336.40","49,918.50","17,152.20",853.40,"15,815.80","33,619.70",MAR'14,bhartiartl
4,141.83,13.42,"1,511.30",20.00,"1,652.30","45,350.90","14,933.80","1,463.10","13,281.50","31,880.20",MAR'13,bhartiartl
0,24.59,25.87,379.32,274.00,110.39,203.34,"16,639.05","17,170.77","16,528.66",735.06,MAR'16,coalindia
1,26.49,21.19,366.58,207.00,243.92,462.56,"13,902.98","14,151.29","13,659.06",710.87,MAR'15,coalindia
2,26.04,23.76,374.56,290.00,271.58,375.48,"15,698.46","16,120.18","15,426.88",797.20,MAR'14,coalindia
3,32.48,15.51,444.73,140.00,389.38,416.01,"10,732.37","11,112.90","10,342.99",796.54,MAR'13,coalindia
4,30.97,12.77,343.38,100.00,395.33,463.49,"9,002.24","9,137.76","8,606.91",599.01,MAR'12,coalindia
0,107.67,12.42,"3,609.32",33.50,"3,280.27","70,506.80","18,764.26","1,471.94","15,483.99","53,214.48",MAR'16,ntpc
1,99.03,12.48,"3,620.71",25.00,"2,878.13","73,236.94","18,336.43","2,681.65","15,458.30","57,582.16",MAR'15,ntpc
2,104.08,13.31,"3,824.78",57.50,"2,546.49","72,018.93","20,593.33","2,832.16","18,046.84","54,257.76",MAR'14,ntpc
3,97.49,15.30,"3,415.96",57.50,"1,933.03","65,737.04","20,224.31","3,223.55","18,291.28","48,736.28",MAR'13,ntpc
4,87.22,11.19,"3,101.71",40.00,"1,749.06","62,052.23","16,866.92","3,309.73","15,117.86","48,495.04",MAR'12,ntpc
0,189.40,33.58,"21,854.40",100.00,392.10,"46,047.80","12,126.90","2,570.00","11,734.80","36,490.90",MAR'17,wipro
1,164.43,33.19,"21,267.10",300.00,549.90,"44,680.80","12,019.50","2,710.60","11,469.60","35,371.90",MAR'16,wipro
2,139.92,33.19,"19,726.30",600.00,362.90,"41,209.80","11,698.30","2,501.80","11,335.40","32,013.30",MAR'15,wipro
3,118.92,29.96,"18,337.50",400.00,374.70,"38,757.20","10,719.60","1,798.70","10,344.90","29,836.30",MAR'14,wipro
4,98.15,22.94,"15,904.20",350.00,352.40,"33,226.50","8,258.80","1,325.30","7,906.40","26,293.00",MAR'13,wipro
