,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,Year,stock_ticker
1,278.55,"1,864.80",27.20,"60,300.30","37,989.10",MAR'16,bhartiartl
2,195.21,"1,691.50",77.00,"55,496.40","36,065.30",MAR'15,bhartiartl
3,166.33,"1,648.10",36.00,"49,918.50","33,619.70",MAR'14,bhartiartl
4,141.83,"1,511.30",20.00,"45,350.90","31,880.20",MAR'13,bhartiartl
0,24.59,379.32,274.00,203.34,735.06,MAR'16,coalindia
1,26.49,366.58,207.00,462.56,710.87,MAR'15,coalindia
2,26.04,374.56,290.00,375.48,797.20,MAR'14,coalindia
3,32.48,444.73,140.00,416.01,796.54,MAR'13,coalindia
4,30.97,343.38,100.00,463.49,599.01,MAR'12,coalindia
0,107.67,"3,609.32",33.50,"70,506.80","53,214.48",MAR'16,ntpc
1,99.03,"3,620.71",25.00,"73,236.94","57,582.16",MAR'15,ntpc
2,104.08,"3,824.78",57.50,"72,018.93","54,257.76",MAR'14,ntpc
3,97.49,"3,415.96",57.50,"65,737.04","48,736.28",MAR'13,ntpc
4,87.22,"3,101.71",40.00,"62,052.23","48,495.04",MAR'12,ntpc
0,189.40,"21,854.40",100.00,"46,047.80","36,490.90",MAR'17,wipro
1,164.43,"21,267.10",300.00,"44,680.80","35,371.90",MAR'16,wipro
2,139.92,"19,726.30",600.00,"41,209.80","32,013.30",MAR'15,wipro
3,118.92,"18,337.50",400.00,"38,757.20","29,836.30",MAR'14,wipro
4,98.15,"15,904.20",350.00,"33,226.50","26,293.00",MAR'13,wipro
0,150.49,"4,854.22",800.00,"13,433.35","8,309.94",MAR'16,hcltech
1,135.60,"5,924.62","1,500.00","17,153.44","10,294.24",JUN'15,hcltech
2,220.09,"5,123.95",500.00,"16,497.37","9,186.87",JUN'14,hcltech
3,141.86,"4,628.61",600.00,"12,517.82","7,927.37",JUN'13,hcltech
4,89.88,"3,923.06",600.00,"8,907.22","6,397.36",JUN'12,hcltech
0,61.28,"3,558.52",0.00,"44,364.00","43,117.81",MAR'17,tatamotors
1,65.81,"3,026.75",10.00,"42,369.82","40,054.28",MAR'16,tatamotors
2,46.11,"3,091.46",0.00,"36,301.63","37,539.11",MAR'15,tatamotors
3,59.51,"2,877.69",100.00,"34,288.11","35,183.60",MAR'14,tatamotors
4,59.91,"2,837.00",100.00,"44,765.72","43,057.41",MAR'13,tatamotors
0,89.25,"1,480.51",100.00,"7,614.46","8,178.84",MAR'16,sunpharma
1,109.74,"1,487.65",300.00,"8,028.44","8,693.26",MAR'15,sunpharma
2,35.77,279.63,150.00,"2,828.79","2,879.38",MAR'14,sunpharma
3,75.21,234.87,500.00,"2,432.14","1,953.60",MAR'13,sunpharma
4,76.07,316.56,425.00,"4,015.56","2,278.20",MAR'12,sunpharma
0,0.00,,0.00,,,MAR'17,axisbank
1,0.00,,0.00,,,MAR'16,axisbank
2,0.00,,0.00,,,MAR'15,axisbank
3,0.00,,0.00,,,MAR'14,axisbank
4,0.00,,0.00,,,MAR'13,axisbank
0,81.68,"1,480.82",23.10,"20,802.22",289.48,MAR'16,powergrid
1,72.95,"1,596.86",20.00,"17,177.23",159.01,MAR'15,powergrid
2,65.87,"1,397.81",25.80,"15,230.28",321.64,MAR'14,powergrid
3,56.68,"1,325.55",27.50,"12,757.85",378.85,MAR'13,powergrid
4,50.73,"1,199.99",21.10,"10,164.27",259.04,MAR'12,powergrid
0,871.37,"1,413.44",100.00,"23,891.43","18,922.48",MAR'17,ultracemco
1,787.33,"1,343.02",95.00,"23,708.79","19,082.19",MAR'16,ultracemco
2,686.92,"1,218.29",90.00,"22,927.19","18,732.16",MAR'15,ultracemco
3,623.29,"1,014.63",90.00,"20,279.80","16,461.90",MAR'14,ultracemco
4,555.54,968.35,90.00,"20,179.96","15,504.48",MAR'13,ultracemco
0,72.47,742.83,"1,030.00","12,647.11","9,972.23",MAR'17,asianpaint
1,61.78,666.83,750.00,"11,830.33","9,349.80",MAR'16,asianpaint
2,44.10,606.94,610.00,"11,648.83","9,634.28",MAR'15,asianpaint
3,37.54,482.43,530.00,"10,418.78","8,639.16",MAR'14,asianpaint
4,315.08,404.59,460.00,"8,960.07","7,409.40",MAR'13,asianpaint
0,374.47,"2,879.05",310.00,"1,89,303.33","1,78,247.06",MAR'16,bpcl
1,309.74,"2,085.60",225.00,"2,38,086.91","2,29,772.23",MAR'15,bpcl
2,267.72,"2,896.35",170.00,"2,60,074.98","2,51,974.31",MAR'14,bpcl
3,229.68,"2,768.87",110.00,"2,40,115.75","2,34,172.88",MAR'13,bpcl
4,412.51,"2,261.07",110.00,"2,11,972.97","2,08,164.69",MAR'12,bpcl
0,214.16,784.35,"1,945.00","36,663.26","30,017.39",MAR'17,sesagoa
1,212.48,706.26,350.00,"34,094.28","28,304.88",MAR'16,sesagoa
2,114.63,650.13,410.00,"32,502.41","27,873.77",MAR'15,sesagoa
3,113.24,559.08,325.00,"28,536.53","26,224.61",MAR'14,sesagoa
4,149.85,184.62,10.00,"2,347.63","2,005.78",MAR'13,sesagoa
0,0.00,,0.00,,,MAR'17,indusindbk
1,0.00,,0.00,,,MAR'16,indusindbk
2,0.00,,0.00,,,MAR'15,indusindbk
3,0.00,,0.00,,,MAR'14,indusindbk
4,0.00,,0.00,,,MAR'13,indusindbk
0,81.44,210.99,65.00,"4,878.86","1,331.81",MAR'17,adaniports
1,65.51,178.92,55.00,"4,619.17","1,311.90",MAR'16,adaniports
2,53.89,157.56,55.00,"3,909.36","1,301.94",MAR'15,adaniports
3,44.79,117.00,50.00,"4,350.26","1,612.47",MAR'14,adaniports
4,33.45,104.38,50.00,"3,361.05",890.82,MAR'13,adaniports
0,"1,425.01",385.05,"1,000.00","7,037.97","4,832.16",MAR'17,eichermot
1,850.95,342.22,"1,000.00","6,186.19","4,478.00",MAR'16,eichermot
2,455.23,160.90,500.00,"3,031.22","2,298.21",DEC'14,eichermot
3,303.75,110.90,300.00,"1,702.47","1,388.78",DEC'13,eichermot
4,232.98,78.86,200.00,"1,049.26",903.83,DEC'12,eichermot
0,588.66,960.52,550.00,"21,766.68","17,345.57",MAR'17,bajaj-auto
1,458.46,883.42,550.00,"22,586.52","17,804.58",MAR'16,bajaj-auto
2,369.50,865.24,500.00,"21,612.01","17,503.19",MAR'15,bajaj-auto
3,332.03,696.48,500.00,"20,149.51","16,078.77",MAR'14,bajaj-auto
4,273.07,611.76,450.00,"19,997.25","16,422.30",MAR'13,bajaj-auto
0,0.00,,0.00,,,MAR'17,yesbank
1,0.00,,0.00,,,MAR'16,yesbank
2,0.00,,0.00,,,MAR'15,yesbank
3,0.00,,0.00,,,MAR'14,yesbank
4,0.00,,0.00,,,MAR'13,yesbank
0,506.13,"1,396.01","4,250.00","28,474.99","23,840.18",MAR'17,heromotoco
1,442.32,"1,315.93","3,600.00","28,442.70","23,987.73",MAR'16,heromotoco
2,327.52,"1,172.87","3,000.00","27,585.30","24,133.90",MAR'15,heromotoco
3,280.41,930.04,"3,250.00","25,275.47","21,828.26",MAR'14,heromotoco
4,250.69,820.92,"3,000.00","23,768.11","20,577.08",MAR'13,heromotoco
0,"2,639.75","1,393.20",850.00,"10,612.80","8,737.10",MAR'16,boschltd
1,"2,339.81","1,663.10",850.00,"12,085.50","10,104.20",MAR'15,boschltd
2,"2,004.55","1,179.20",550.00,"8,756.70","7,468.00",DEC'13,boschltd
3,"1,774.94","1,037.10",600.00,"8,659.10","7,309.60",DEC'12,boschltd
4,"1,505.86",896.10,"1,350.00","8,165.80","6,653.90",DEC'11,boschltd
