Date,Open,High,Low,Close,Adj Close,Volume
01/02/15,8288.700195,8410.599609,8288.700195,8395.450195,8395.450195,101900
01/05/15,8407.950195,8445.599609,8363.900391,8378.400391,8378.400391,118200
01/06/15,8325.299805,8327.849609,8111.350098,8127.350098,8127.350098,172800
01/07/15,8118.649902,8151.200195,8065.450195,8102.100098,8102.100098,164100
01/08/15,8191.399902,8243.5,8167.299805,8234.599609,8234.599609,143800
01/09/15,8285.450195,8303.299805,8190.799805,8284.5,8284.5,148000
01/12/15,8291.349609,8332.599609,8245.599609,8323,8323,103200
01/13/15,8346.150391,8356.650391,8267.900391,8299.400391,8299.400391,129600
01/14/15,8307.25,8326.450195,8236.650391,8277.549805,8277.549805,146100
01/15/15,8424.5,8527.099609,8380.549805,8494.150391,8494.150391,232100
01/16/15,8504.049805,8530.75,8452.25,8513.799805,8513.799805,176000
01/19/15,8550.049805,8570.950195,8531.5,8550.700195,8550.700195,125400
01/20/15,8575.099609,8707.900391,8574.5,8695.599609,8695.599609,158700
01/21/15,8719.650391,8741.849609,8689.599609,8729.5,8729.5,185900
01/22/15,8745.849609,8774.150391,8727,8761.400391,8761.400391,175500
01/23/15,8827.950195,8866.400391,8795.400391,8835.599609,8835.599609,191200
01/27/15,8871.349609,8925.049805,8825.450195,8910.5,8910.5,192000
01/28/15,8902.75,8985.049805,8874.049805,8914.299805,8914.299805,185100
01/29/15,8901.5,8966.650391,8861.25,8952.349609,8952.349609,256300
01/30/15,8996.599609,8996.599609,8775.099609,8808.900391,8808.900391,267300
02/02/15,8802.5,8840.799805,8751.099609,8797.400391,8797.400391,210100
02/03/15,8823.150391,8837.299805,8726.650391,8756.549805,8756.549805,208700
02/04/15,8789.150391,8792.849609,8704.400391,8723.700195,8723.700195,195300
02/05/15,8733.099609,8838.450195,8683.650391,8711.700195,8711.700195,173600
02/06/15,8696.849609,8726.200195,8645.549805,8661.049805,8661.049805,171300
02/09/15,8584.400391,8605.549805,8516.349609,8526.349609,8526.349609,146800
02/10/15,8478.099609,8646.25,8470.5,8565.549805,8565.549805,196200
02/11/15,8603.299805,8651.950195,8593.650391,8627.400391,8627.400391,161600
02/12/15,8676.950195,8732.549805,8599.25,8711.549805,8711.549805,158800
02/13/15,8741.5,8822.099609,8729.650391,8805.5,8805.5,221900
02/16/15,8831.400391,8870.099609,8793.400391,8809.349609,8809.349609,136400
02/18/15,8811.549805,8894.299805,8808.900391,8869.099609,8869.099609,147600
02/19/15,8883.049805,8913.450195,8794.450195,8895.299805,8895.299805,213300
02/20/15,8895.5,8899.950195,8816.299805,8833.599609,8833.599609,197600
02/23/15,8856.849609,8869,8736.099609,8754.950195,8754.950195,139600
02/24/15,8772.900391,8800.5,8726.75,8762.099609,8762.099609,149800
02/25/15,8801.900391,8840.650391,8751.400391,8767.25,8767.25,135200
02/26/15,8779,8786.049805,8669.450195,8683.849609,8683.849609,217500
02/27/15,8729.5,8856.950195,8717.450195,8844.599609,8844.599609,249500
02/28/15,null,null,null,null,null,null
03/02/15,8953.849609,8972.349609,8885.450195,8956.75,8956.75,218100
03/03/15,8962.849609,9008.400391,8925.549805,8996.25,8996.25,177800
03/04/15,9109.150391,9119.200195,8893.950195,8922.650391,8922.650391,248400
03/05/15,8929.400391,8957.549805,8849.349609,8937.75,8937.75,160100
03/09/15,8891.150391,8891.299805,8740.450195,8756.75,8756.75,155500
03/10/15,8769.75,8778,8677.349609,8712.049805,8712.049805,163800
03/11/15,8728.75,8755.599609,8682.349609,8699.950195,8699.950195,172800
03/12/15,8740.650391,8787.200195,8732.900391,8776,8776,173900
03/13/15,8844.049805,8849.75,8631.75,8647.75,8647.75,179200
03/16/15,8656.75,8663.549805,8612,8633.150391,8633.150391,163300
03/17/15,8689.099609,8742.549805,8630.799805,8723.299805,8723.299805,177000
03/18/15,8742.900391,8747.25,8664,8685.900391,8685.900391,156400
03/19/15,8749.450195,8788.200195,8614.650391,8634.650391,8634.650391,163500
03/20/15,8627.900391,8627.900391,8553,8570.900391,8570.900391,174600
