stock_ticker,Year,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
YESBANK,MAR'13,1.51,24.81,15.09,11.82,11.36,2.65,1.4,1.85,0.05
HEROMOTOCO,MAR'17,23.04,35.66,49.24,19.06,16.64,6.37,2.64,2.26,0
HEROMOTOCO,MAR'16,26.35,41.11,57.75,18.6,16.34,6.65,2.45,2.07,0
HEROMOTOCO,MAR'15,23.34,39.3,53.76,22.12,18.04,8.07,2.27,1.91,0
HEROMOTOCO,MAR'14,21.49,39.77,48.66,21.52,14.11,8.11,2.86,1.8,0
HEROMOTOCO,MAR'13,21.69,45.57,42.46,14.54,9.45,6.15,3.89,1.3,0
BOSCHLTD,MAR'16,9.97,15.94,23.58,52.39,39.78,7.87,0.41,6.15,0
BOSCHLTD,MAR'15,11.95,19.61,28.28,59.58,42.26,10.85,0.33,6.6,0
BOSCHLTD,DEC'13,8.94,14.91,20.47,35.8,24.96,5.03,0.55,3.62,0
BOSCHLTD,DEC'12,11.82,18.6,24.94,31.05,22.45,5.34,0.63,3.44,0
BOSCHLTD,DEC'11,16.05,25.44,33.46,18.96,15.42,4.5,1.99,2.61,0
BINFRA,MAR'17,12.74,15.38,19.04,22.25,15.55,3.71,4.92,9.89,0
BINFRA,MAR'16,5.92,7.21,10.33,54.61,29.2,3.83,0.78,13.04,0
BINFRA,MAR'15,11.6,15.34,18.3,26.74,18.94,4.07,2.86,13.52,0
BINFRA,MAR'14,4.76,6.2,8.5,35.3,17.56,2.18,2.16,7.7,0
BINFRA,MAR'13,4.99,6.28,8.16,33.1,15.78,1.91,3.11,7.49,0
GAIL,MAR'16,4.2,7.7,9.86,19.66,12.51,1.48,1.54,0.87,0
GAIL,MAR'15,5.59,10.82,12.22,16.23,12.29,1.69,1.54,0.87,0
GAIL,MAR'14,8.68,17.06,19.17,10.89,8.59,1.76,2.77,0.83,0
