,stock_ticker,Year,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
4,wipro,MAR'13,14.28,23.33,25.21,19.06,16.95,4.45,1.60,3.24,0.00
0,hcltech,MAR'16,15.04,23.50,28.68,24.26,22.91,5.41,1.97,8.55,0.00
1,hcltech,JUN'15,23.04,36.82,43.82,20.41,19.49,6.79,3.26,7.55,0.00
2,hcltech,JUN'14,27.91,47.33,55.57,8.75,16.18,6.80,0.67,6.35,0.00
3,hcltech,JUN'13,24.45,44.81,49.57,14.98,13.34,5.47,1.55,4.32,0.00
4,hcltech,JUN'12,18.26,33.06,34.27,16.93,14.33,5.30,2.52,3.71,0.00
0,tatamotors,MAR'17,-4.47,-11.49,-2.13,0.00,323.31,7.60,0.00,3.57,0.00
1,tatamotors,MAR'16,0.46,1.26,4.40,560.02,48.80,5.87,0.05,3.10,0.00
2,tatamotors,MAR'15,-9.51,-27.88,-6.73,0.00,-82.88,11.93,0.00,4.88,0.00
3,tatamotors,MAR'14,0.66,1.75,0.93,379.23,53.32,6.69,0.50,3.74,0.00
4,tatamotors,MAR'13,0.57,1.57,4.39,284.65,40.53,4.50,0.74,1.92,0.00
0,sunpharma,MAR'16,-2.91,-4.86,-1.89,0.00,-323.62,9.18,0.12,25.90,0.00
1,sunpharma,MAR'15,-5.55,-9.78,-5.11,0.00,-260.28,9.32,0.29,26.37,0.00
2,sunpharma,MAR'14,-23.44,-37.23,-31.53,0.00,-43.55,16.03,0.26,41.98,0.00
3,sunpharma,MAR'13,5.50,6.59,8.42,82.03,140.69,10.88,0.61,34.85,0.00
4,sunpharma,MAR'12,19.96,23.32,23.57,17.37,33.26,7.49,0.75,14.69,0.00
0,axisbank,MAR'17,0.64,6.76,7.61,31.95,28.07,2.11,1.02,2.64,0.07
1,axisbank,MAR'16,1.64,16.81,12.59,12.88,12.22,1.99,1.12,2.58,0.06
