,high_price,low_price,open_price,total_traded_quantity,turnover,label
79,"1,410.00","1,393.10","1,400.40","1,99,030","2,788.14","1,396.45"
80,"1,404.70","1,380.40","1,389.00","1,95,943","2,731.85","1,400.75"
81,"1,411.80","1,383.85","1,408.90","1,57,023","2,189.75","1,386.40"
82,"1,421.20","1,406.05","1,411.00","1,65,807","2,346.01","1,413.05"
83,"1,417.45","1,405.50","1,417.45","2,26,054","3,190.11","1,408.70"
84,"1,427.90","1,403.30","1,425.50","2,48,632","3,513.69","1,411.50"
85,"1,431.00","1,419.00","1,428.90","2,84,330","4,047.02","1,422.00"
86,"1,431.45","1,418.00","1,426.00","2,30,384","3,281.41","1,420.40"
87,"1,429.95","1,408.55","1,425.00","5,68,073","8,042.16","1,415.40"
88,"1,415.00","1,395.95","1,407.00","2,79,160","3,927.12","1,400.00"
89,"1,424.40","1,386.70","1,387.45","5,83,817","8,227.38","1,401.95"
90,"1,409.00","1,386.30","1,391.65","6,37,044","8,916.72","1,397.95"
91,"1,395.00","1,383.00","1,395.00","2,90,023","4,025.42","1,387.35"
92,"1,407.40","1,388.55","1,398.00","1,51,011","2,108.14","1,393.45"
93,"1,416.90","1,390.90","1,405.00","2,39,017","3,346.27","1,393.70"
94,"1,438.85","1,401.65","1,417.65","4,12,473","5,871.00","1,407.85"
95,"1,422.00","1,406.45","1,416.00","3,38,182","4,781.49","1,408.95"
96,"1,423.95","1,402.70","1,422.65","5,54,038","7,814.15","1,411.50"
97,"1,443.45","1,410.80","1,443.45","2,41,883","3,431.17","1,417.50"
98,"1,453.90","1,427.95","1,448.90","3,83,587","5,525.92","1,438.10"
99,"1,477.00","1,443.40","1,470.00","2,37,273","3,471.33","1,447.60"
100,"1,474.50","1,448.20","1,452.50","2,18,786","3,202.00","1,467.45"
101,"1,477.90","1,455.55","1,467.30","1,51,885","2,227.42","1,460.65"
102,"1,474.60","1,452.10","1,460.00","1,37,686","2,013.94","1,465.70"
103,"1,459.60","1,435.35","1,447.70","1,66,282","2,413.74","1,455.85"
104,"1,477.10","1,435.10","1,466.20","2,66,161","3,880.29","1,442.90"
105,"1,487.00","1,461.90","1,485.00","2,29,223","3,367.61","1,465.55"
106,"1,502.30","1,462.10","1,492.00","2,32,611","3,452.86","1,487.55"
107,"1,496.95","1,474.50","1,487.45","1,52,607","2,267.61","1,486.95"
108,"1,512.05","1,477.60","1,497.15","3,73,250","5,580.21","1,485.50"
109,"1,504.00","1,456.90","1,456.90","6,49,755","9,687.59","1,497.10"
110,"1,483.70","1,445.40","1,483.70","2,90,474","4,234.24","1,456.20"
111,"1,502.75","1,402.00","1,412.10","12,76,805","18,726.75","1,480.15"
112,"1,439.35","1,408.05","1,430.00","6,45,997","9,171.63","1,423.90"
113,"1,470.00","1,423.10","1,470.00","3,05,773","4,402.01","1,431.85"
114,"1,476.15","1,412.50","1,416.00","3,99,235","5,792.95","1,468.55"
115,"1,434.90","1,406.25","1,415.25","1,86,852","2,653.31","1,413.50"
116,"1,440.00","1,412.00","1,428.80","2,15,574","3,071.20","1,428.40"
117,"1,440.00","1,413.00","1,420.00","6,17,354","8,833.86","1,430.65"
118,"1,413.00","1,352.60","1,361.50","7,43,286","10,291.43","1,399.40"
119,"1,362.00","1,337.10","1,339.00","8,34,505","11,253.65","1,358.60"
120,"1,343.60","1,326.15","1,326.15","2,05,914","2,749.49","1,334.70"
121,"1,365.00","1,315.00","1,357.90","3,80,376","5,112.42","1,326.45"
122,"1,367.95","1,342.35","1,351.00","5,61,898","7,619.78","1,361.05"
123,"1,353.80","1,331.00","1,337.75","5,03,533","6,779.55","1,349.70"
124,"1,339.90","1,315.00","1,333.00","2,08,483","2,763.22","1,328.90"
125,"1,339.90","1,325.00","1,331.00","1,07,466","1,432.07","1,331.00"
126,"1,350.00","1,327.70","1,344.80","1,01,419","1,350.88","1,329.50"
127,"1,361.00","1,332.35","1,357.00","2,82,105","3,792.86","1,341.60"
128,"1,354.00","1,320.00","1,325.00","3,99,543","5,361.98","1,348.70"
129,"1,337.35","1,314.05","1,332.00","1,66,426","2,197.70","1,319.60"
130,"1,343.70","1,316.50","1,343.70","1,35,067","1,791.16","1,327.85"
131,"1,349.10","1,330.00","1,338.00","2,47,931","3,324.06","1,333.90"
132,"1,339.00","1,320.10","1,330.50","3,62,924","4,827.66","1,332.85"
133,"1,351.00","1,315.15","1,347.70","2,04,877","2,720.53","1,319.40"
134,"1,359.90","1,336.65","1,359.90","1,67,153","2,248.78","1,343.55"
135,"1,357.45","1,339.00","1,340.00","1,94,806","2,629.33","1,351.90"
136,"1,336.00","1,310.00","1,311.20","1,62,248","2,151.53","1,331.05"
137,"1,314.70","1,293.40","1,295.00","2,83,456","3,699.05","1,309.95"
138,"1,305.00","1,283.30","1,283.30","2,76,849","3,588.33","1,294.80"
139,"1,297.00","1,279.30","1,284.00","1,23,749","1,598.17","1,294.80"
140,"1,295.00","1,278.40","1,293.65","1,28,460","1,654.16","1,284.10"
141,"1,305.00","1,285.50","1,296.05","1,67,352","2,166.84","1,296.30"
142,"1,305.10","1,285.20","1,298.80","1,95,979","2,529.89","1,294.40"
143,"1,314.10","1,295.00","1,300.05","1,89,869","2,477.62","1,300.00"
144,"1,299.00","1,272.00","1,274.80","1,28,333","1,653.66","1,295.15"
145,"1,296.75","1,269.55","1,294.15","3,20,880","4,117.70","1,277.70"
146,"1,318.50","1,283.05","1,316.80","3,59,428","4,663.43","1,294.15"
147,"1,328.10","1,304.85","1,306.00","2,40,587","3,166.91","1,314.95"
148,"1,343.00","1,310.10","1,340.05","2,44,083","3,223.18","1,313.45"
149,"1,349.90","1,328.20","1,348.70","1,60,886","2,151.42","1,339.75"
150,"1,375.75","1,341.15","1,372.50","1,74,756","2,369.42","1,345.90"
151,"1,385.00","1,355.55","1,362.25","2,13,389","2,927.94","1,379.15"
152,"1,371.40","1,351.00","1,352.20","1,89,040","2,574.70","1,358.65"
153,"1,360.90","1,347.45","1,352.25","3,17,740","4,292.12","1,350.00"
154,"1,357.40","1,340.00","1,341.25","1,50,509","2,028.69","1,350.55"
155,"1,347.25","1,318.80","1,332.35","1,89,012","2,517.21","1,340.00"
156,"1,338.00","1,317.90","1,333.80","1,89,494","2,512.07","1,325.70"
157,"1,354.90","1,327.00","1,349.10","2,31,448","3,093.20","1,338.00"
158,"1,354.75","1,323.20","1,325.00","3,58,245","4,809.63","1,342.40"
159,"1,339.80","1,306.55","1,321.10","2,15,852","2,862.27","1,320.00"
160,"1,326.90","1,304.90","1,312.90","2,62,470","3,457.50","1,317.70"
161,"1,331.00","1,298.75","1,331.00","3,28,988","4,310.48","1,309.40"
162,"1,335.00","1,281.10","1,302.00","3,88,251","5,112.37","1,325.15"
163,"1,316.90","1,276.70","1,306.00","2,67,500","3,465.16","1,302.75"
164,"1,297.00","1,256.55","1,282.00","2,74,371","3,514.41","1,293.00"
165,"1,316.40","1,265.15","1,315.00","3,95,665","5,089.10","1,272.25"
