Year,close_price,stock_ticker
31-Mar-15,"2,008.40",LUPIN
31-Mar-14,933.15,LUPIN
01-Jul-13,777.15,LUPIN
31-Mar-17,"6,015.70",MARUTI
31-Mar-16,"3,716.30",MARUTI
31-Mar-15,"3,697.35",MARUTI
31-Mar-14,"1,971.75",MARUTI
01-Jul-13,"1,605.45",MARUTI
31-Mar-17,166,NTPC
31-Mar-16,128.85,NTPC
31-Mar-15,146.85,NTPC
31-Mar-14,119.9,NTPC
01-Jul-13,148.15,NTPC
31-Mar-17,185,ONGC
31-Mar-16,214.1,ONGC
31-Mar-15,306.35,ONGC
31-Mar-14,318.7,ONGC
01-Jul-13,328,ONGC
31-Mar-17,197.3,POWERGRID
31-Mar-16,139.1,POWERGRID
31-Mar-15,145.25,POWERGRID
31-Mar-14,105,POWERGRID
01-Jul-13,112.9,POWERGRID
31-Mar-17,"1,320.90",RELIANCE
31-Mar-16,"1,045.20",RELIANCE
31-Mar-15,826,RELIANCE
31-Mar-14,930.75,RELIANCE
01-Jul-13,885.7,RELIANCE
31-Mar-17,293.4,SBIN
31-Mar-16,194.25,SBIN
31-Mar-15,267.05,SBIN
31-Mar-14,"1,917.70",SBIN
01-Jul-13,"2,015.60",SBIN
31-Mar-17,688.15,SUNPHARMA
31-Mar-16,820,SUNPHARMA
31-Mar-15,"1,023.90",SUNPHARMA
31-Mar-14,574.75,SUNPHARMA
01-Jul-13,"1,005.00",SUNPHARMA
31-Mar-17,"2,431.80",TCS
31-Mar-16,"2,520.30",TCS
31-Mar-15,"2,553.95",TCS
31-Mar-14,"2,133.15",TCS
01-Jul-13,"1,492.35",TCS
31-Mar-17,282.15,TATAMTRDVR
31-Mar-16,288.35,TATAMTRDVR
31-Mar-15,331.55,TATAMTRDVR
31-Mar-14,202.4,TATAMTRDVR
01-Jul-13,143.05,TATAMTRDVR
31-Mar-17,465.85,TATAMOTORS
31-Mar-16,386.6,TATAMOTORS
31-Mar-15,550.2,TATAMOTORS
31-Mar-14,398.65,TATAMOTORS
01-Jul-13,289.8,TATAMOTORS
31-Mar-17,90.35,TATAPOWER
31-Mar-16,64.65,TATAPOWER
31-Mar-15,77.1,TATAPOWER
31-Mar-14,85.15,TATAPOWER
01-Jul-13,88.65,TATAPOWER
31-Mar-17,482.7,TATASTEEL
31-Mar-16,319.7,TATASTEEL
31-Mar-15,316.75,TATASTEEL
31-Mar-14,393.95,TATASTEEL
01-Jul-13,280.7,TATASTEEL
31-Mar-17,459.15,TECHM
31-Mar-16,474.95,TECHM
31-Mar-15,629.7,TECHM
