,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,Year,stock_ticker
0,107.67,"3,609.32",33.5,"70,506.80","53,214.48",MAR'16,NTPC
1,99.03,"3,620.71",25,"73,236.94","57,582.16",MAR'15,NTPC
2,104.08,"3,824.78",57.5,"72,018.93","54,257.76",MAR'14,NTPC
3,97.49,"3,415.96",57.5,"65,737.04","48,736.28",MAR'13,NTPC
4,87.22,"3,101.71",40,"62,052.23","48,495.04",MAR'12,NTPC
0,189.4,"21,854.40",100,"46,047.80","36,490.90",MAR'17,WIPRO
1,164.43,"21,267.10",300,"44,680.80","35,371.90",MAR'16,WIPRO
2,139.92,"19,726.30",600,"41,209.80","32,013.30",MAR'15,WIPRO
3,118.92,"18,337.50",400,"38,757.20","29,836.30",MAR'14,WIPRO
4,98.15,"15,904.20",350,"33,226.50","26,293.00",MAR'13,WIPRO
0,150.49,"4,854.22",800,"13,433.35","8,309.94",MAR'16,HCLTECH
1,135.6,"5,924.62","1,500.00","17,153.44","10,294.24",JUN'15,HCLTECH
2,220.09,"5,123.95",500,"16,497.37","9,186.87",JUN'14,HCLTECH
3,141.86,"4,628.61",600,"12,517.82","7,927.37",JUN'13,HCLTECH
4,89.88,"3,923.06",600,"8,907.22","6,397.36",JUN'12,HCLTECH
0,61.28,"3,558.52",0,"44,364.00","43,117.81",MAR'17,TATAMOTORS
1,65.81,"3,026.75",10,"42,369.82","40,054.28",MAR'16,TATAMOTORS
2,46.11,"3,091.46",0,"36,301.63","37,539.11",MAR'15,TATAMOTORS
3,59.51,"2,877.69",100,"34,288.11","35,183.60",MAR'14,TATAMOTORS
4,59.91,"2,837.00",100,"44,765.72","43,057.41",MAR'13,TATAMOTORS
0,89.25,"1,480.51",100,"7,614.46","8,178.84",MAR'16,SUNPHARMA
1,109.74,"1,487.65",300,"8,028.44","8,693.26",MAR'15,SUNPHARMA
2,35.77,279.63,150,"2,828.79","2,879.38",MAR'14,SUNPHARMA
3,75.21,234.87,500,"2,432.14","1,953.60",MAR'13,SUNPHARMA
4,76.07,316.56,425,"4,015.56","2,278.20",MAR'12,SUNPHARMA
0,0,,0,,,MAR'17,AXISBANK
1,0,,0,,,MAR'16,AXISBANK
2,0,,0,,,MAR'15,AXISBANK
3,0,,0,,,MAR'14,AXISBANK
4,0,,0,,,MAR'13,AXISBANK
0,81.68,"1,480.82",23.1,"20,802.22",289.48,MAR'16,POWERGRID
1,72.95,"1,596.86",20,"17,177.23",159.01,MAR'15,POWERGRID
2,65.87,"1,397.81",25.8,"15,230.28",321.64,MAR'14,POWERGRID
3,56.68,"1,325.55",27.5,"12,757.85",378.85,MAR'13,POWERGRID
4,50.73,"1,199.99",21.1,"10,164.27",259.04,MAR'12,POWERGRID
0,871.37,"1,413.44",100,"23,891.43","18,922.48",MAR'17,ULTRACEMCO
1,787.33,"1,343.02",95,"23,708.79","19,082.19",MAR'16,ULTRACEMCO
2,686.92,"1,218.29",90,"22,927.19","18,732.16",MAR'15,ULTRACEMCO
3,623.29,"1,014.63",90,"20,279.80","16,461.90",MAR'14,ULTRACEMCO
4,555.54,968.35,90,"20,179.96","15,504.48",MAR'13,ULTRACEMCO
0,72.47,742.83,"1,030.00","12,647.11","9,972.23",MAR'17,ASIANPAINT
1,61.78,666.83,750,"11,830.33","9,349.80",MAR'16,ASIANPAINT
2,44.1,606.94,610,"11,648.83","9,634.28",MAR'15,ASIANPAINT
3,37.54,482.43,530,"10,418.78","8,639.16",MAR'14,ASIANPAINT
4,315.08,404.59,460,"8,960.07","7,409.40",MAR'13,ASIANPAINT
0,374.47,"2,879.05",310,"1,89,303.33","1,78,247.06",MAR'16,BPCL
1,309.74,"2,085.60",225,"2,38,086.91","2,29,772.23",MAR'15,BPCL
2,267.72,"2,896.35",170,"2,60,074.98","2,51,974.31",MAR'14,BPCL
3,229.68,"2,768.87",110,"2,40,115.75","2,34,172.88",MAR'13,BPCL
4,412.51,"2,261.07",110,"2,11,972.97","2,08,164.69",MAR'12,BPCL
0,214.16,784.35,"1,945.00","36,663.26","30,017.39",MAR'17,SESAGOA
1,212.48,706.26,350,"34,094.28","28,304.88",MAR'16,SESAGOA
2,114.63,650.13,410,"32,502.41","27,873.77",MAR'15,SESAGOA
3,113.24,559.08,325,"28,536.53","26,224.61",MAR'14,SESAGOA
4,149.85,184.62,10,"2,347.63","2,005.78",MAR'13,SESAGOA
0,0,,0,,,MAR'17,INDUSINDBK
1,0,,0,,,MAR'16,INDUSINDBK
2,0,,0,,,MAR'15,INDUSINDBK
3,0,,0,,,MAR'14,INDUSINDBK
4,0,,0,,,MAR'13,INDUSINDBK
0,81.44,210.99,65,"4,878.86","1,331.81",MAR'17,ADANIPORTS
1,65.51,178.92,55,"4,619.17","1,311.90",MAR'16,ADANIPORTS
2,53.89,157.56,55,"3,909.36","1,301.94",MAR'15,ADANIPORTS
3,44.79,117,50,"4,350.26","1,612.47",MAR'14,ADANIPORTS
4,33.45,104.38,50,"3,361.05",890.82,MAR'13,ADANIPORTS
0,"1,425.01",385.05,"1,000.00","7,037.97","4,832.16",MAR'17,EICHERMOT
1,850.95,342.22,"1,000.00","6,186.19","4,478.00",MAR'16,EICHERMOT
2,455.23,160.9,500,"3,031.22","2,298.21",DEC'14,EICHERMOT
3,303.75,110.9,300,"1,702.47","1,388.78",DEC'13,EICHERMOT
4,232.98,78.86,200,"1,049.26",903.83,DEC'12,EICHERMOT
0,588.66,960.52,550,"21,766.68","17,345.57",MAR'17,BAJAJ-AUTO
1,458.46,883.42,550,"22,586.52","17,804.58",MAR'16,BAJAJ-AUTO
