,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure
119,INDUSINDBK,MAR'15,"96,919.70","24,038.70","1,20,958.00","27,259.30","30,982.20",0,"62,716.90","-62,716.90","17,937.20","9,154.50",33.99,2,0,,0,,
120,INDUSINDBK,MAR'14,"82,535.30","18,905.30","1,01,441.00","21,852.80","25,959.60","21,283.30","53,628.20","-32,344.90","14,080.20","7,203.10",26.85,3,0,,0,,
121,INDUSINDBK,MAR'13,"69,832.30","13,629.60","83,461.90","17,563.60","18,394.60","15,763.60","47,503.70","-31,740.10","10,611.80","5,151.80",21.83,4,0,,0,,
122,ADANIPORTS,MAR'17,"48,788.60","14,850.00","63,638.60","14,268.10","49,370.50","38,336.50","11,034.00","27,302.50","31,006.10","1,923.30",14.97,0,81.44,210.99,65,"4,878.86","1,331.81"
123,ADANIPORTS,MAR'16,"46,307.50","10,777.30","57,084.80","13,360.20","43,724.60","34,456.60","9,268.00","25,188.60","28,415.80",821.5,13.72,1,65.51,178.92,55,"4,619.17","1,311.90"
124,ADANIPORTS,MAR'15,"39,093.60","7,995.00","47,088.60","13,019.40","34,069.20","26,367.90","7,701.30","18,666.60","21,831.40",-349.7,10.55,2,53.89,157.56,55,"3,909.36","1,301.94"
125,ADANIPORTS,MAR'14,"43,457.80","6,797.50","50,255.30","17,817.00","32,438.30","26,659.60","5,778.70","20,880.90","20,161.70","1,940.80",9.74,3,44.79,117,50,"4,350.26","1,612.47"
126,ADANIPORTS,MAR'13,"33,610.50","2,032.40","35,642.90","9,332.40","26,310.50","22,315.70","3,994.80","18,320.90","17,541.80","1,350.10",8.76,4,33.45,104.38,50,"3,361.05",890.82
127,EICHERMOT,MAR'17,"79,440.60","2,273.10","81,713.70","57,382.50","24,331.20","24,303.30",27.9,"24,275.40","15,600.20","7,169.70",573.75,0,"1,425.01",385.05,"1,000.00","7,037.97","4,832.16"
128,EICHERMOT,MAR'16,"61,880.30","1,782.40","63,662.70","44,575.50","19,087.20","19,073.10",14.1,"19,059.00","12,298.50","5,397.30",453.2,1,850.95,342.22,"1,000.00","6,186.19","4,478.00"
129,EICHERMOT,DEC'13,"17,024.70",801,"17,825.70","13,887.40","3,938.30","3,935.60",2.7,"3,932.90","2,786.20",845.3,103.04,3,303.75,110.9,300,"1,702.47","1,388.78"
130,EICHERMOT,DEC'12,"10,492.60",457.8,"10,950.40","9,038.30","1,912.10","1,909.50",2.6,"1,906.90","1,447.60",290.4,53.61,4,232.98,78.86,200,"1,049.26",903.83
131,BAJAJ-AUTO,MAR'17,"2,30,880.00","12,219.70","2,43,100.00","1,86,657.00","56,443.20","56,429.20",14,"56,415.20","38,275.60","15,080.70",132.3,0,588.66,960.52,550,"21,766.68","17,345.57"
132,BAJAJ-AUTO,MAR'16,"2,26,876.00","9,132.70","2,36,009.00","1,79,080.00","56,928.20","56,923.40",4.8,"56,918.60","36,524.10","17,327.70",126.2,1,458.46,883.42,550,"22,586.52","17,804.58"
133,BAJAJ-AUTO,MAR'15,"2,16,120.00","5,824.20","2,21,944.00","1,74,955.00","46,989.70","43,521.90",64.9,"43,457.00","28,137.40","12,710.50",97.2,2,369.5,865.24,500,"21,612.01","17,503.19"
134,BAJAJ-AUTO,MAR'14,"2,01,495.00","7,064.10","2,08,559.00","1,60,438.00","48,121.50","48,116.60",4.9,"48,111.70","32,433.20","13,887.30",112.08,3,332.03,696.48,500,"20,149.51","16,078.77"
135,BAJAJ-AUTO,MAR'13,"1,99,972.00","7,954.90","2,07,927.00","1,63,620.00","44,307.40","44,302.00",5.4,"44,296.60","30,435.70","12,226.60",105.18,4,273.07,611.76,450,"19,997.25","16,422.30"
136,YESBANK,MAR'17,"1,64,246.00","41,567.60","2,05,814.00","41,165.40","58,375.20",0,"1,06,273.00","-1,06,273.00","33,300.90","17,140.20",78.89,0,0,,0,,
137,YESBANK,MAR'16,"1,35,334.00","27,121.50","1,62,456.00","29,763.70","43,025.00",0,"89,667.20","-89,667.20","25,394.50","12,267.50",60.62,1,0,,0,,
138,YESBANK,MAR'15,"1,15,720.00","20,464.60","1,36,185.00","22,847.10","32,495.80",0,"80,841.70","-80,841.70","20,053.60","9,047.50",49.34,2,0,,0,,
139,YESBANK,MAR'14,"99,813.50","17,215.80","1,17,029.00","17,498.70","26,879.70","23,262.80","72,650.90","-49,388.10","16,177.80","7,085.00",44.92,3,0,,0,,
140,YESBANK,MAR'13,"82,940.00","12,574.30","95,514.30","13,345.40","21,416.80","19,257.30","60,752.10","-41,494.80","13,006.80","6,250.50",36.53,4,0,,0,,
141,HEROMOTOCO,MAR'17,"3,08,461.00","5,224.30","3,13,686.00","2,62,113.00","51,572.40","51,511.90",60.5,"51,451.40","33,771.20","12,813.40",169.12,0,506.13,"1,396.01","4,250.00","28,474.99","23,840.18"
142,HEROMOTOCO,MAR'16,"2,85,993.00","3,911.20","2,89,904.00","2,41,523.00","48,381.30","48,359.80",21.5,"48,338.30","31,323.70","12,622.10",156.86,1,442.32,"1,315.93","3,600.00","28,442.70","23,987.73"
143,HEROMOTOCO,MAR'15,"2,75,853.00","4,927.40","2,80,780.00","2,40,431.00","40,349.20","38,687.90",110.9,"38,577.00","23,856.40","9,431.80",119.46,2,327.52,"1,172.87","3,000.00","27,585.30","24,133.90"
144,HEROMOTOCO,MAR'14,"2,52,755.00","4,463.80","2,57,218.00","2,17,354.00","39,864.40","39,746.20",118.2,"39,628.00","21,090.80","7,581.70",105.61,3,280.41,930.04,"3,250.00","25,275.47","21,828.26"
145,HEROMOTOCO,MAR'13,"2,37,681.00","3,983.80","2,41,665.00","2,04,836.00","36,828.60","36,709.50",119.1,"36,590.40","21,181.60","4,110.40",106.07,4,250.69,820.92,"3,000.00","23,768.11","20,577.08"
146,BOSCHLTD,MAR'16,"1,06,128.00","3,826.20","1,09,954.00","87,371.30","22,582.60","22,540.80",41.8,"22,499.00","12,459.20","6,131.50",396.8,0,"2,639.75","1,393.20",850,"10,612.80","8,737.10"
147,BOSCHLTD,MAR'15,"1,20,855.00","5,653.00","1,26,508.00","1,01,042.00","25,466.30","25,042.70",143.2,"24,899.50","13,376.50","6,182.00",426.0,1,"2,339.81","1,663.10",850,"12,085.50","10,104.20"
148,BOSCHLTD,DEC'13,"88,200.60","3,526.20","91,726.80","75,290.40","16,436.40","16,407.50",28.9,"16,378.60","8,846.80","3,718.70",281.75,2,"2,004.55","1,179.20",550,"8,756.70","7,468.00"
149,BOSCHLTD,DEC'12,"86,590.70","3,692.30","90,283.00","73,097.90","17,185.10","17,129.90",55.2,"17,074.70","9,581.70","3,879.00",305.15,3,"1,774.94","1,037.10",600,"8,659.10","7,309.60"
150,BINFRA,MAR'17,"60,847.00","10,221.00","71,068.00","32,595.00","38,473.00","45,014.00","-6,541.00","51,555.00","27,050.00","6,307.00",14.49,0,87.79,274.6,160,"6,084.70","4,006.30"
151,BINFRA,MAR'16,"55,957.00","6,388.00","62,345.00","30,793.00","31,552.00","31,547.00",5,"31,542.00","13,234.00","6,609.00",6.98,1,99.8,257.8,30,"5,558.30","3,138.80"
152,BINFRA,MAR'15,"53,889.00","20,019.00","73,908.00","29,949.00","43,959.00","43,959.00",0,"43,959.00","27,252.00","5,485.00",14.42,2,94.55,244.4,110,"5,388.90","3,002.10"
153,BINFRA,MAR'14,"49,993.00","5,302.00","55,295.00","29,224.00","26,071.00","25,980.00",91,"25,889.00","10,899.00","4,067.00",5.77,3,93.26,215.1,44,"4,999.30","2,924.20"
154,BINFRA,MAR'13,"44,601.00","6,558.00","51,159.00","26,881.00","24,278.00","24,302.00",7,"24,295.00","10,098.00","3,118.00",5.35,4,92.86,208.7,55,"4,460.10","2,718.70"
155,GAIL,MAR'16,"5,19,142.00","8,577.00","5,27,718.00","4,76,459.00","51,259.30","44,858.90","6,400.40","38,458.50","22,989.00","8,739.00",18.12,0,241.11,993.57,55,"51,914.15","47,648.10"
156,GAIL,MAR'15,"5,67,420.00","8,608.60","5,76,028.00","5,20,458.00","55,570.60","52,586.20","3,613.00","48,973.20","30,391.70","12,451.90",23.96,1,229.56,902.62,60,"56,741.98","52,063.67"
157,GAIL,MAR'14,"5,75,079.00","8,985.20","5,84,064.00","5,08,067.00","75,997.10","75,784.70","3,661.90","72,122.80","43,752.70","20,270.50",34.49,2,213.42,843.5,104,"57,507.93","50,827.60"
158,GAIL,MAR'13,"4,75,227.00","7,645.10","4,82,872.00","4,10,535.00","72,337.30","70,387.10","1,950.20","68,436.90","40,222.00","20,355.70",31.71,3,191,782.3,96,"47,522.69","41,162.90"
159,TATASTEEL,MAR'17,"5,32,610.00","4,144.60","5,36,754.00","4,13,850.00","1,22,904.00","88,984.80","26,885.50","62,099.30","34,445.50","19,123.80",33.67,0,0,"4,605.13",100,"47,993.02","36,190.93"
160,TATASTEEL,MAR'16,"3,82,103.00","38,907.00","4,21,010.00","3,09,986.00","1,11,024.00","80,596.30","14,602.70","65,993.60","49,009.50","12,255.70",48.67,1,0,"4,319.89",80,"38,221.49","30,610.91"
161,TATASTEEL,MAR'15,"4,17,850.00","5,827.80","4,23,678.00","3,17,762.00","1,05,916.00","1,05,065.00","19,759.50","85,305.50","64,391.20","20,697.70",64.49,2,684.62,"4,601.92",80,"41,785.00","31,853.61"
162,TATASTEEL,MAR'14,"4,17,110.00","7,876.40","4,24,987.00","2,88,941.00","1,36,045.00","1,16,422.00","18,205.80","98,216.20","64,121.90","33,013.10",66.01,3,627.59,"3,673.08",100,"41,711.03","28,960.75"
163,TATASTEEL,MAR'13,"3,81,994.00","9,020.40","3,91,015.00","2,70,732.00","1,20,283.00","94,769.80","18,767.70","76,002.10","50,629.70","27,736.30",52.12,4,566.94,"3,602.27",80,"38,199.43","27,204.12"
164,AMBUJACEM,DEC'16,"92,678.20","5,762.30","98,440.50","75,851.30","22,589.20","21,874.40",714.8,"21,159.60","9,700.90","3,672.20",4.89,0,96.06,593.72,140,"9,239.88","7,557.19"
165,AMBUJACEM,DEC'15,"94,614.00","3,581.90","98,195.90","79,299.30","18,896.60","17,978.70",917.9,"17,060.80","8,075.60","3,646.50",5.21,1,66.41,589.52,140,"9,431.43","7,899.96"
166,AMBUJACEM,DEC'14,"99,781.20","4,289.80","1,04,071.00","80,496.80","23,574.20","22,929.40",644.8,"22,284.60","14,963.60","2,870.50",9.67,2,65.13,581.58,250,"9,951.97","8,023.53"
167,AMBUJACEM,DEC'13,"91,603.50","3,936.20","95,539.70","75,095.20","20,444.50","20,041.90",650.8,"19,391.10","12,945.70","2,195.50",8.37,3,61.24,502.17,180,"9,149.45","7,482.51"
168,AMBUJACEM,DEC'12,"97,303.00","3,488.70","1,00,792.00","72,573.30","28,218.40","24,670.50",756.6,"23,913.90","12,970.60","6,047.70",8.41,4,56.94,478.51,180,"9,686.18","7,213.21"
169,ZEEL,MAR'17,"49,283.70","3,471.40","52,755.10","34,233.90","18,521.20","17,726.90","1,264.50","16,462.40","10,340.60","6,615.20",10.77,0,46.06,288.9,250,"4,928.40","3,423.40"
170,ZEEL,MAR'16,"42,065.00","2,226.60","44,291.60","30,306.20","13,985.40","13,957.80",27.6,"13,930.20","8,593.30","4,688.10",7.43,1,37.58,301.5,225,"4,206.50","3,117.60"
171,ZEEL,MAR'15,"34,261.80","2,272.90","36,534.70","23,814.90","12,719.80","12,702.10",17.7,"12,684.40","8,317.70","3,804.70",7.15,2,26.75,272.9,225,"3,426.20","2,393.90"
172,ZEEL,MAR'14,"30,756.70","1,845.60","32,602.30","20,442.00","12,160.30","12,088.50",71.8,"12,016.70","7,723.30","4,026.90",8.04,3,20.32,217.3,200,"3,075.70","2,045.20"
173,ZEEL,MAR'13,"25,658.80","1,189.70","26,848.50","17,036.00","9,812.50","9,799.20",13.3,"9,785.90","6,406.90","3,112.00",6.72,4,35.14,184.8,200,"2,565.90","1,703.60"
174,IBULHSGFIN,MAR'16,"79,329.30","9,089.87","88,419.20","9,269.12","79,150.10","30,726.00","48,424.10","-17,698.10","22,941.20","7,591.02",58.55,0,249.25,368.63,"2,250.00","8,007.49","1,001.47"
175,IBULHSGFIN,MAR'15,"62,477.20","9,096.29","71,573.50","7,626.75","63,946.80","25,511.70","38,435.00","-12,923.30","19,782.30","5,549.35",57.18,1,182.51,279.28,"1,300.00","6,291.52",804.06
176,IBULHSGFIN,MAR'14,"52,241.10","5,313.50","57,554.60","6,147.67","51,406.90","19,084.40","32,322.50","-13,238.10","15,100.00","3,907.89",45.2,2,163.58,220.57,"1,450.00","5,253.86",587.99
177,IBULHSGFIN,MAR'13,"46,580.60",481.37,"47,062.00","4,892.89","42,169.10","16,133.30","26,035.80","-9,902.50","12,279.10","3,762.10",196.46,3,154.34,203.62,"1,000.00","4,460.97",511.31
178,HINDALCO,MAR'16,"3,43,177.00","10,662.10","3,53,839.00","3,09,995.00","43,843.70","20,096.10","23,747.60","-3,651.50","6,072.50","1,253.60",2.94,0,179.36,"1,698.06",100,"34,317.66","31,011.01"
179,HINDALCO,MAR'15,"3,45,250.00","8,822.10","3,54,072.00","3,11,085.00","42,987.30","20,839.40","16,370.90","4,468.50","9,251.60","3,217.50",4.48,1,180.3,"1,589.48",100,"34,525.03","31,153.78"
180,HINDALCO,MAR'14,"2,78,509.00","11,244.20","2,89,754.00","2,53,590.00","36,163.00","25,086.70","7,116.50","17,970.20","14,133.30","2,720.50",6.84,2,177.83,"1,345.47",100,"27,850.93","25,708.18"
181,HINDALCO,MAR'13,"2,60,569.00","9,830.90","2,70,400.00","2,38,532.00","31,868.10","27,508.30","4,359.80","23,148.50","16,992.00","3,474.30",8.87,3,174.54,"1,200.80",140,"26,056.93","23,857.64"
182,LUPIN,MAR'17,"1,27,532.00",884.7,"1,28,416.00","82,670.30","45,745.90","45,451.70",294.2,"45,157.50","31,413.30","10,377.30",69.63,0,323.44,"1,403.03",375,"12,753.15","8,267.03"
183,LUPIN,MAR'16,"1,12,801.00","1,938.80","1,14,740.00","72,480.10","42,259.40","42,111.60",147.8,"41,963.80","28,850.70","10,204.80",64.1,1,261.84,"1,218.09",375,"11,343.77","7,356.77"
184,LUPIN,MAR'15,"97,524.70","1,806.30","99,331.00","63,792.20","35,538.80","35,489.80",49,"35,440.80","23,973.50","8,148.40",53.41,2,199.59,"1,052.55",375,"9,752.47","6,379.22"
185,LUPIN,MAR'14,"89,393.80","4,153.80","93,547.60","60,270.50","33,277.10","33,067.20",209.9,"32,857.30","23,242.20","8,148.70",51.83,3,155.06,844.32,300,"8,939.38","6,027.05"
186,LUPIN,MAR'13,"71,225.10",233.1,"71,458.20","52,385.90","19,072.30","18,739.50",332.8,"18,406.70","12,604.30","4,633.80",28.16,4,108.14,726.44,200,"7,122.51","5,238.59"
187,CIPLA,MAR'17,"1,09,746.00","1,298.50","1,11,044.00","93,783.20","17,261.10","16,869.10",392,"16,477.10","9,749.40","2,120.00",12.13,0,158.37,"1,728.97",100,"10,768.49","9,172.23"
188,CIPLA,MAR'16,"1,20,341.00","2,591.40","1,22,932.00","99,803.40","23,128.60","21,803.40","1,325.20","20,478.20","13,980.30","3,415.00",17.41,1,148.08,"1,778.56",100,"11,950.69","9,897.26"
189,CIPLA,MAR'15,"1,01,318.00","1,479.10","1,02,797.00","81,704.70","21,092.20","19,731.70","1,360.50","18,371.20","11,810.90","3,588.80",14.71,2,137.12,"1,499.63",100,"10,131.78","8,170.47"
190,CIPLA,MAR'14,"93,802.90","2,802.80","96,605.70","73,907.60","22,698.10","21,419.50","1,278.60","20,140.90","13,883.40","4,300.00",17.29,3,125.31,"1,284.75",100,"9,456.90","7,467.37"
191,CIPLA,MAR'13,"82,024.20","2,291.30","84,315.50","60,832.80","23,482.70","23,148.90",333.8,"22,815.10","15,071.10","5,047.50",18.77,4,110.36,969.28,100,"8,202.42","6,083.28"
192,AUROPHARMA,MAR'16,"91,661.80",392.9,"92,054.70","67,371.50","24,683.20","24,030.50",652.7,"23,377.80","16,196.70","5,203.80",27.73,0,116.38,809.79,250,"9,166.18","6,717.14"
193,AUROPHARMA,MAR'15,"80,951.00",423.2,"81,374.20","58,953.50","22,420.70","21,854.90",565.8,"21,289.10","15,163.40","4,240.00",52.01,1,183.55,668.75,450,"8,095.10","5,844.68"
194,AUROPHARMA,MAR'14,"71,107.10",328.7,"71,435.80","53,515.20","17,920.60","17,054.40",866.2,"16,188.20","11,720.90","3,473.80",40.24,2,137.65,514.21,300,"7,110.71","5,191.24"
195,AUROPHARMA,MAR'13,"54,251.00",150.1,"54,401.10","44,670.40","9,730.70","7,345.10","1,147.40","6,197.70","4,959.90",671.3,17.04,3,100.93,431.42,150,"5,425.10","4,467.04"
196,TECHM,MAR'17,"2,31,654.00","8,929.40","2,40,583.00","1,94,936.00","45,647.30","45,009.40",637.9,"44,371.50","30,473.30","8,314.00",31.37,0,167.89,"7,744.40",180,"23,165.40","19,860.70"
197,TECHM,MAR'16,"2,09,698.00","11,084.30","2,20,782.00","1,75,561.00","45,221.00","44,687.80",533.2,"44,154.60","32,200.00","7,033.00",33.4,1,149.29,"7,429.00",240,"20,969.80","17,703.20"
198,TECHM,MAR'15,"1,91,626.00","3,246.20","1,94,873.00","1,61,362.00","33,510.40","34,037.50",85.6,"33,951.90","22,562.30","6,742.30",23.58,2,112.87,"7,201.20",120,"19,162.70","16,256.30"
199,TECHM,MAR'14,"1,62,951.00","3,130.30","1,66,082.00","1,29,765.00","36,316.50","36,648.20",770.8,"35,877.40","26,854.70","5,523.70",115.02,3,358.44,"6,971.50",200,"16,295.10","13,170.60"
200,TECHM,MAR'13,"60,018.90",339.5,"60,358.40","49,681.00","10,677.40","9,742.30",935.1,"8,807.20","6,525.20","1,647.00",50.93,4,319.34,"2,513.80",50,"6,001.90","4,954.70"
201,DRREDDY,MAR'17,"97,198.00","5,912.00","1,03,110.00","79,742.00","23,368.00","22,796.00",572,"22,224.00","13,841.00","1,604.00",83.05,0,694.83,"1,803.30",400,"9,719.80","7,974.20"
202,DRREDDY,MAR'16,"1,02,077.00","2,448.00","1,04,525.00","78,037.00","26,488.00","22,291.00",638,"21,653.00","13,545.00","2,255.00",79.42,1,702.69,"1,693.40",400,"10,291.90","8,226.60"
203,DRREDDY,MAR'15,"1,00,109.00","2,228.50","1,02,338.00","76,199.40","26,138.50","25,500.50",638,"24,862.50","16,793.50","3,804.70",98.6,2,618.75,"1,490.90",400,"10,011.00","7,619.90"
204,DRREDDY,MAR'14,"97,280.50","1,514.60","98,795.10","69,663.10","29,132.00","28,348.90",783.1,"27,565.80","19,328.40","5,215.50",113.63,3,543.33,"1,419.90",360,"9,728.00","7,004.50"
205,DRREDDY,MAR'13,"84,340.10","1,417.10","85,757.20","64,483.40","21,273.80","20,659.80",614,"20,045.80","12,654.70","4,876.60",74.51,4,454.35,"1,138.10",300,"8,434.00","6,448.30"
206,BANKBARODA,MAR'17,"4,21,999.00","67,580.60","4,89,580.00","92,964.00","1,09,751.00",0,"2,86,865.00","-2,86,865.00","13,831.30","10,895.60",6.0,0,0,,0,,
207,BANKBARODA,MAR'16,"4,40,613.00","49,988.60","4,90,601.00","89,231.30","88,155.70","-66,980.80","3,13,214.00","-3,80,194.80","-53,955.50","-13,025.30",-23.89,1,0,,0,,
208,BANKBARODA,MAR'15,"4,29,636.00","44,020.00","4,73,656.00","76,741.30","99,151.00",0,"2,97,763.00","-2,97,763.00","33,984.30","20,221.70",15.83,2,0,,0,,
209,BANKBARODA,MAR'14,"3,89,397.00","44,627.40","4,34,024.00","70,748.70","93,532.20","54,973.10","2,69,744.00","-2,14,770.90","45,410.80","9,562.30",107.38,3,0,,0,,
210,BANKBARODA,MAR'13,"3,51,966.00","36,306.30","3,88,273.00","58,721.10","90,737.80","48,312.30","2,38,814.00","-1,90,501.70","44,807.20","3,505.10",108.84,4,0,,0,,
211,ACCLTD,DEC'16,"1,11,583.00","1,127.10","1,12,710.00","97,413.40","15,297.10","14,140.30",728.7,"13,411.60","6,024.00","2,064.70",32.08,0,461.22,778.31,170,"11,158.34","9,747.30"
212,ACCLTD,DEC'15,"1,17,968.00","1,193.50","1,19,162.00","1,02,597.00","16,565.20","14,360.30",673.2,"13,687.10","5,915.70","1,924.00",31.51,1,449.69,769.87,170,"11,796.83","10,268.98"
213,ACCLTD,DEC'14,"1,17,382.00","2,682.80","1,20,065.00","1,02,310.00","17,755.40","16,927.80",827.6,"16,100.20","11,682.90",-330.9,62.33,2,438.64,746.59,340,"11,738.21","10,248.61"
214,ACCLTD,DEC'13,"1,11,689.00","2,237.90","1,13,927.00","95,401.50","18,525.80","18,009.10",516.7,"17,492.40","10,957.60","1,312.00",58.3,3,416.76,661.27,300,"11,149.61","9,528.28"
215,ACCLTD,DEC'12,"1,13,580.00","2,648.20","1,16,228.00","91,623.80","24,604.00","20,103.70","1,146.50","18,957.20","10,611.90","3,903.00",56.46,4,393.21,616.65,300,"11,357.96","9,162.38"
216,TATAPOWER,MAR'17,"72,180.60","9,138.30","81,318.90","51,084.20","30,234.70","11,403.40","12,956.80","-1,553.40","2,834.50","2,226.80",0.63,0,53.61,660.8,130,"7,202.25","5,184.21"
217,TATAPOWER,MAR'16,"88,196.50","5,551.30","93,747.80","57,787.30","35,960.50","18,321.70","11,559.90","6,761.80","7,716.20","3,949.00",2.36,1,54.61,648.47,130,"8,690.51","6,241.27"
218,TATAPOWER,MAR'15,"86,776.90","10,246.80","97,023.70","65,639.70","31,384.00","20,909.40","10,474.60","10,434.80","10,102.90","5,053.60",3.3,2,54.86,686.52,130,"8,250.19","6,563.97"
219,TATAPOWER,MAR'14,"86,270.40","6,557.60","92,828.00","63,362.90","29,465.10","20,783.00","8,682.10","12,100.90","9,540.80","5,370.80",4.02,3,51.64,544.95,125,"8,675.53","6,384.78"
220,TATAPOWER,MAR'13,"95,672.80","7,216.70","1,02,890.00","75,432.20","27,457.30","20,674.80","6,782.50","13,892.30","10,246.90","6,786.90",4.32,4,48.98,547.6,115,"9,567.28","7,537.93"
