,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
89,AXISBANK,31-Mar-17,"4,45,422.00","1,16,913.00","5,62,335.00","1,21,999.00","1,75,845.00",0,"2,64,490.00","-2,64,490.00","36,792.80","17,882.80",15.4,0,0,,0,,,0.64,6.76,7.61,31.95,28.07,2.11,1.02,2.64,0.07
90,AXISBANK,31-Mar-16,"4,09,880.00","93,714.60","5,03,595.00","1,01,008.00","1,61,036.00",0,"2,41,551.00","-2,41,551.00","82,236.60","41,700.90",34.59,1,0,,0,,,1.64,16.81,12.59,12.88,12.22,1.99,1.12,2.58,0.06
91,AXISBANK,31-Mar-15,"3,54,786.00","83,650.40","4,38,436.00","92,037.40","1,33,854.00",0,"2,12,545.00","-2,12,545.00","73,578.20","36,990.10",31.18,2,0,,0,,,1.74,17.75,14.25,18.05,17.11,2.97,0.82,3.74,0.06
92,AXISBANK,31-Mar-14,"3,06,412.00","74,052.20","3,80,464.00","79,007.70","1,14,561.00","93,486.30","1,86,895.00","-93,408.70","62,176.70","31,309.60",132.56,3,0,,0,,,1.72,17.43,15.2,2.21,10.43,1.8,1.37,2.24,0.06
93,AXISBANK,01-Jul-13,"2,71,826.00","65,511.10","3,37,337.00","69,142.40","93,031.30","75,526.90","1,75,163.00","-99,636.10","51,794.30","23,732.60",119.67,4,0,,0,,,1.65,18.53,15.01,2.35,11.01,1.84,1.38,2.24,0.06
94,POWERGRID,31-Mar-16,"2,08,022.00","4,789.60","2,12,812.00","24,566.70","1,88,245.00","1,38,015.00","50,229.70","87,785.30","60,267.20","15,920.10",11.52,0,81.68,"1,480.82",23.1,"20,802.22",289.48,3.41,14.9,10.1,12.07,5.96,1.7,1.66,3.5,0.0
95,POWERGRID,31-Mar-15,"1,71,772.00","6,028.10","1,77,800.00","24,259.30","1,53,541.00","1,13,748.00","39,793.20","73,954.80","49,791.70","13,102.10",9.52,1,72.95,"1,596.86",20,"17,177.23",159.01,3.18,13.71,9.79,15.26,7.55,1.99,1.38,4.42,0.0
96,POWERGRID,31-Mar-14,"1,52,303.00","4,911.30","1,57,214.00","22,944.60","1,34,270.00","1,02,594.00","31,675.20","70,918.80","44,974.20","17,663.30",8.6,2,65.87,"1,397.81",25.8,"15,230.28",321.64,3.46,14.82,10.63,12.22,6.47,1.59,2.46,3.61,0.0
97,POWERGRID,01-Jul-13,"1,27,578.00","6,448.10","1,34,027.00","18,214.40","1,15,812.00","89,967.80","26,091.40","63,876.40","42,345.00","14,103.60",9.15,3,56.68,"1,325.55",27.5,"12,757.85",378.85,4.11,17.03,12.01,11.58,6.47,1.87,2.6,3.84,0.0
98,ULTRACEMCO,31-Mar-17,"2,71,624.00","6,599.50","2,78,224.00","2,21,935.00","56,289.00","50,438.20","5,713.90","44,724.30","26,277.20","11,482.30",95.74,0,871.37,"1,413.44",100,"23,891.43","18,922.48",6.77,11.54,14.48,41.68,28.12,4.58,0.25,4.58,0.0
99,ULTRACEMCO,31-Mar-16,"2,41,074.00","2,351.60","2,43,425.00","1,94,912.00","48,512.80","43,459.90","5,052.90","38,407.00","21,746.50","8,823.10",79.25,1,787.33,"1,343.02",95,"23,708.79","19,082.19",6.45,11.72,13.57,37.36,24.15,4.1,0.29,3.74,0.0
100,ULTRACEMCO,31-Mar-15,"2,29,362.00","3,717.80","2,33,080.00","1,87,411.00","45,668.10","40,193.60","5,474.50","34,719.10","20,147.30","8,715.20",73.44,2,686.92,"1,218.29",90,"22,927.19","18,732.16",6.2,11.21,14.14,39.16,25.06,4.19,0.31,3.44,0.0
101,ULTRACEMCO,31-Mar-14,"2,02,798.00","3,290.40","2,06,088.00","1,64,619.00","41,469.40","38,277.70","3,191.70","35,086.00","21,444.70","6,310.40",78.2,3,623.29,"1,014.63",90,"20,279.80","16,461.90",7.5,13.27,14.41,27.99,18.78,3.51,0.41,2.96,0.0
102,ULTRACEMCO,01-Jul-13,"2,01,749.00","3,050.00","2,04,799.00","1,54,995.00","49,804.80","47,707.70","2,097.10","45,610.60","26,554.30","11,699.70",96.85,4,555.54,968.35,90,"20,179.96","15,504.48",10.55,18.91,21.43,19.29,14.22,3.36,0.48,2.54,0.0
103,ASIANPAINT,31-Mar-17,"1,43,604.00","3,009.00","1,46,613.00","1,16,890.00","29,723.40","29,534.80",188.6,"29,346.20","18,031.00","8,549.50",18.8,0,72.47,742.83,"1,030.00","12,647.11","9,972.23",19.04,28.01,41.39,56.98,48.96,14.78,0.96,8.12,0.0
104,ASIANPAINT,31-Mar-16,"1,26,459.00","2,253.00","1,28,712.00","1,01,663.00","27,048.60","26,161.10",234,"25,927.10","15,974.30","7,803.20",16.65,1,61.78,666.83,750,"11,830.33","9,349.80",20.29,31.96,47.5,51.35,44.86,14.06,0.86,7.04,0.0
105,ASIANPAINT,31-Mar-15,"1,16,488.00","1,868.20","1,18,356.00","96,383.10","21,973.40","21,566.80",271.3,"21,295.50","13,274.00","6,061.70",13.84,2,44.1,606.94,610,"11,648.83","9,634.28",18.97,33.9,49.62,58.44,50.03,18.34,0.75,6.66,0.0
106,ASIANPAINT,31-Mar-14,"1,04,188.00","1,736.60","1,05,924.00","86,415.10","19,509.30","19,148.90",260.8,"18,888.10","11,690.60","5,335.10",12.19,3,37.54,482.43,530,"10,418.78","8,639.16",18.91,35.3,51.1,44.84,37.95,14.56,0.97,5.03,0.0
107,ASIANPAINT,01-Jul-13,"89,717.00","1,261.50","90,978.50","74,244.30","16,734.20","16,428.60",305.6,"16,123.00","10,500.00","4,658.80",109.47,4,315.08,404.59,460,"8,960.07","7,409.40",20.11,38.11,53.39,4.49,40.05,15.6,0.94,5.26,0.0
108,BPCL,31-Mar-16,"18,93,030.00","20,121.60","19,13,150.00","17,82,470.00","1,30,684.00","1,25,055.00","5,629.40","1,19,425.60","74,318.80","32,193.00",102.78,0,374.47,"2,879.05",310,"1,89,303.33","1,78,247.06",10.2,30.04,28.55,4.39,7.02,2.41,3.44,0.34,0.0
109,BPCL,31-Mar-15,"23,80,870.00","21,999.60","24,02,870.00","22,97,720.00","1,05,146.00","99,315.30","5,831.00","93,484.30","50,845.10","23,310.00",70.32,1,309.74,"2,085.60",225,"2,38,086.91","2,29,772.23",7.17,24.35,21.28,5.76,7.71,2.61,2.78,0.25,0.0
110,BPCL,31-Mar-14,"26,00,610.00","14,686.60","26,15,290.00","25,19,740.00","95,548.80","81,958.00","13,590.80","68,367.20","40,608.80","18,881.00",56.16,2,267.72,"2,896.35",170,"2,60,074.98","2,51,974.31",5.84,22.58,18.24,8.2,5.28,1.72,3.69,0.13,0.0
111,BPCL,01-Jul-13,"24,01,160.00","16,802.30","24,17,960.00","23,40,090.00","77,870.30","59,617.90","18,252.40","41,365.50","26,429.00","13,927.90",36.55,3,229.68,"2,768.87",110,"2,40,115.75","2,34,172.88",3.99,16.77,14.96,10.35,5.98,1.65,2.91,0.11,0.0
112,SESAGOA,31-Mar-17,"3,85,404.00","97,049.20","4,82,453.00","3,18,890.00","1,63,564.00","1,37,843.00","38,961.60","98,881.40","1,10,687.00","-2,706.90",25.72,0,214.16,784.35,"1,945.00","36,663.26","30,017.39",6.41,13.96,12.47,9.23,7.27,1.28,7.08,2.79,0.0
113,SESAGOA,31-Mar-16,"2,98,106.00","88,238.20","3,86,344.00","2,59,048.00","1,27,296.00","66,978.70","35,413.60","31,565.10","54,718.80",80.2,18.45,1,212.48,706.26,350,"34,094.28","28,304.88",-9.18,-21.08,-15.36,0.0,-4.39,0.42,3.89,0.98,0.0
114,SESAGOA,31-Mar-15,"3,25,024.00","20,088.60","3,45,113.00","2,78,738.00","66,375.00","29,791.40","36,559.30","-6,767.90","19,272.00",402.7,6.5,2,114.63,650.13,410,"32,502.41","27,873.77",2.38,5.7,7.8,29.15,19.11,1.65,2.16,1.73,0.0
115,SESAGOA,31-Mar-14,"2,85,365.00","18,170.60","3,03,536.00","2,62,246.00","41,289.80","4,331.40","35,649.60","-31,318.20","10,760.90","-21,477.40",3.63,3,113.24,559.08,325,"28,536.53","26,224.61",2.11,4.62,5.52,51.79,21.59,1.66,1.73,1.95,0.0
116,SESAGOA,01-Jul-13,"21,879.20","3,419.90","25,299.10","18,460.70","6,838.40","2,049.00","4,692.30","-2,643.30","1,207.70",-637.8,1.39,4,149.85,184.62,10,"2,347.63","2,005.78",0.67,0.93,3.06,112.01,50.35,1.04,0.06,5.76,0.0
117,INDUSINDBK,31-Mar-17,"1,44,057.00","41,714.90","1,85,772.00","47,830.80","54,510.10",0,"83,430.70","-83,430.70","28,678.90","14,917.90",48.06,0,0,,0,,,1.78,15.27,13.45,29.4,27.56,4.16,0.43,5.85,0.06
118,INDUSINDBK,31-Mar-16,"1,15,807.00","32,969.50","1,48,776.00","36,721.00","41,414.20","34,692.60","70,640.90","-35,948.30","22,864.50","11,828.10",39.68,1,0,,0,,,1.8,16.6,13.83,25.18,23.57,3.33,0.47,4.85,0.05
119,INDUSINDBK,31-Mar-15,"96,919.70","24,038.70","1,20,958.00","27,259.30","30,982.20",0,"62,716.90","-62,716.90","17,937.20","9,154.50",33.99,2,0,,0,,,1.8,19.01,13.83,26.05,24.33,4.56,0.45,4.82,0.05
120,INDUSINDBK,31-Mar-14,"82,535.30","18,905.30","1,01,441.00","21,852.80","25,959.60","21,283.30","53,628.20","-32,344.90","14,080.20","7,203.10",26.85,3,0,,0,,,1.76,17.56,15.2,18.7,17.49,3.05,0.7,3.19,0.07
121,INDUSINDBK,01-Jul-13,"69,832.30","13,629.60","83,461.90","17,563.60","18,394.60","15,763.60","47,503.70","-31,740.10","10,611.80","5,151.80",21.83,4,0,,0,,,1.62,17.81,15.07,19.95,18.65,2.86,0.74,3.03,0.06
122,ADANIPORTS,31-Mar-17,"48,788.60","14,850.00","63,638.60","14,268.10","49,370.50","38,336.50","11,034.00","27,302.50","31,006.10","1,923.30",14.97,0,81.44,210.99,65,"4,878.86","1,331.81",9.21,20.38,13.5,22.7,19.33,4.17,0.38,14.42,0.0
123,ADANIPORTS,31-Mar-16,"46,307.50","10,777.30","57,084.80","13,360.20","43,724.60","34,456.60","9,268.00","25,188.60","28,415.80",821.5,13.72,1,65.51,178.92,55,"4,619.17","1,311.90",10.65,23.98,15.41,17.3,14.72,3.78,0.44,11.11,0.0
124,ADANIPORTS,31-Mar-15,"39,093.60","7,995.00","47,088.60","13,019.40","34,069.20","26,367.90","7,701.30","18,666.60","21,831.40",-349.7,10.55,2,53.89,157.56,55,"3,909.36","1,301.94",9.35,21.38,13.9,29.21,23.87,5.72,0.36,16.31,0.0
125,ADANIPORTS,31-Mar-14,"43,457.80","6,797.50","50,255.30","17,817.00","32,438.30","26,659.60","5,778.70","20,880.90","20,161.70","1,940.80",9.74,3,44.79,117,50,"4,350.26","1,612.47",10.3,25.25,17.83,19.25,15.7,4.19,0.53,8.92,0.0
126,ADANIPORTS,01-Jul-13,"33,610.50","2,032.40","35,642.90","9,332.40","26,310.50","22,315.70","3,994.80","18,320.90","17,541.80","1,350.10",8.76,4,33.45,104.38,50,"3,361.05",890.82,11.16,29.43,17.6,15.85,13.26,4.15,0.72,8.27,0.0
127,EICHERMOT,31-Mar-17,"79,440.60","2,273.10","81,713.70","57,382.50","24,331.20","24,303.30",27.9,"24,275.40","15,600.20","7,169.70",573.75,0,"1,425.01",385.05,"1,000.00","7,037.97","4,832.16",27.11,50.42,72.59,44.57,40.58,17.93,0.39,9.88,0.0
128,EICHERMOT,31-Mar-16,"61,880.30","1,782.40","63,662.70","44,575.50","19,087.20","19,073.10",14.1,"19,059.00","12,298.50","5,397.30",453.2,1,850.95,342.22,"1,000.00","6,186.19","4,478.00",38.81,73.87,103.27,39.71,35.96,22.49,0.52,8.4,0.0
129,EICHERMOT,DEC'13,"17,024.70",801,"17,825.70","13,887.40","3,938.30","3,935.60",2.7,"3,932.90","2,786.20",845.3,103.04,3,303.75,110.9,300,"1,702.47","1,388.78",22.22,38.42,49.82,48.3,43.55,16.38,0.6,7.9,0.0
130,EICHERMOT,DEC'12,"10,492.60",457.8,"10,950.40","9,038.30","1,912.10","1,909.50",2.6,"1,906.90","1,447.60",290.4,53.61,4,232.98,78.86,200,"1,049.26",903.83,16.03,24.76,29.3,54.15,48.41,12.46,0.69,7.47,0.0
131,BAJAJ-AUTO,31-Mar-17,"2,30,880.00","12,219.70","2,43,100.00","1,86,657.00","56,443.20","56,429.20",14,"56,415.20","38,275.60","15,080.70",132.3,0,588.66,960.52,550,"21,766.68","17,345.57",20.52,25.26,34.95,21.23,19.65,4.77,1.96,3.73,0.0
132,BAJAJ-AUTO,31-Mar-16,"2,26,876.00","9,132.70","2,36,009.00","1,79,080.00","56,928.20","56,923.40",4.8,"56,918.60","36,524.10","17,327.70",126.2,1,458.46,883.42,550,"22,586.52","17,804.58",24.52,32.8,45.88,17.72,16.43,5.25,2.29,3.08,0.0
133,BAJAJ-AUTO,31-Mar-15,"2,16,120.00","5,824.20","2,21,944.00","1,74,955.00","46,989.70","43,521.90",64.9,"43,457.00","28,137.40","12,710.50",97.2,2,369.5,865.24,500,"21,612.01","17,503.19",18.57,27.72,39.97,20.75,18.97,5.46,2.48,2.7,0.0
134,BAJAJ-AUTO,31-Mar-14,"2,01,495.00","7,064.10","2,08,559.00","1,60,438.00","48,121.50","48,116.60",4.9,"48,111.70","32,433.20","13,887.30",112.08,3,332.03,696.48,500,"20,149.51","16,078.77",23.83,37.05,52.47,18.54,17.58,6.26,2.41,2.98,0.0
135,BAJAJ-AUTO,01-Jul-13,"1,99,972.00","7,954.90","2,07,927.00","1,63,620.00","44,307.40","44,302.00",5.4,"44,296.60","30,435.70","12,226.60",105.18,4,273.07,611.76,450,"19,997.25","16,422.30",25.83,43.66,60.28,17.07,16.2,6.57,2.51,2.6,0.0
136,YESBANK,31-Mar-17,"1,64,246.00","41,567.60","2,05,814.00","41,165.40","58,375.20",0,"1,06,273.00","-1,06,273.00","33,300.90","17,140.20",78.89,0,0,,0,,,1.75,18.58,14.08,21.23,20.2,3.21,0.77,4.31,0.05
137,YESBANK,31-Mar-16,"1,35,334.00","27,121.50","1,62,456.00","29,763.70","43,025.00",0,"89,667.20","-89,667.20","25,394.50","12,267.50",60.62,1,0,,0,,,1.68,19.94,13.33,14.32,13.72,2.64,1.16,2.69,0.05
138,YESBANK,31-Mar-15,"1,15,720.00","20,464.60","1,36,185.00","22,847.10","32,495.80",0,"80,841.70","-80,841.70","20,053.60","9,047.50",49.34,2,0,,0,,,1.64,21.33,13.44,17.01,16.32,2.92,1.1,2.95,0.06
139,YESBANK,31-Mar-14,"99,813.50","17,215.80","1,17,029.00","17,498.70","26,879.70","23,262.80","72,650.90","-49,388.10","16,177.80","7,085.00",44.92,3,0,,0,,,1.55,25.02,14.4,9.22,8.87,2.09,1.93,1.49,0.06
140,YESBANK,01-Jul-13,"82,940.00","12,574.30","95,514.30","13,345.40","21,416.80","19,257.30","60,752.10","-41,494.80","13,006.80","6,250.50",36.53,4,0,,0,,,1.51,24.81,15.09,11.82,11.36,2.65,1.4,1.85,0.05
141,HEROMOTOCO,31-Mar-17,"3,08,461.00","5,224.30","3,13,686.00","2,62,113.00","51,572.40","51,511.90",60.5,"51,451.40","33,771.20","12,813.40",169.12,0,506.13,"1,396.01","4,250.00","28,474.99","23,840.18",23.04,35.66,49.24,19.06,16.64,6.37,2.64,2.26,0.0
142,HEROMOTOCO,31-Mar-16,"2,85,993.00","3,911.20","2,89,904.00","2,41,523.00","48,381.30","48,359.80",21.5,"48,338.30","31,323.70","12,622.10",156.86,1,442.32,"1,315.93","3,600.00","28,442.70","23,987.73",26.35,41.11,57.75,18.6,16.34,6.65,2.45,2.07,0.0
143,HEROMOTOCO,31-Mar-15,"2,75,853.00","4,927.40","2,80,780.00","2,40,431.00","40,349.20","38,687.90",110.9,"38,577.00","23,856.40","9,431.80",119.46,2,327.52,"1,172.87","3,000.00","27,585.30","24,133.90",23.34,39.3,53.76,22.12,18.04,8.07,2.27,1.91,0.0
144,HEROMOTOCO,31-Mar-14,"2,52,755.00","4,463.80","2,57,218.00","2,17,354.00","39,864.40","39,746.20",118.2,"39,628.00","21,090.80","7,581.70",105.61,3,280.41,930.04,"3,250.00","25,275.47","21,828.26",21.49,39.77,48.66,21.52,14.11,8.11,2.86,1.8,0.0
145,HEROMOTOCO,01-Jul-13,"2,37,681.00","3,983.80","2,41,665.00","2,04,836.00","36,828.60","36,709.50",119.1,"36,590.40","21,181.60","4,110.40",106.07,4,250.69,820.92,"3,000.00","23,768.11","20,577.08",21.69,45.57,42.46,14.54,9.45,6.15,3.89,1.3,0.0
146,BOSCHLTD,31-Mar-16,"1,06,128.00","3,826.20","1,09,954.00","87,371.30","22,582.60","22,540.80",41.8,"22,499.00","12,459.20","6,131.50",396.8,0,"2,639.75","1,393.20",850,"10,612.80","8,737.10",9.97,15.94,23.58,52.39,39.78,7.87,0.41,6.15,0.0
147,BOSCHLTD,31-Mar-15,"1,20,855.00","5,653.00","1,26,508.00","1,01,042.00","25,466.30","25,042.70",143.2,"24,899.50","13,376.50","6,182.00",426.0,1,"2,339.81","1,663.10",850,"12,085.50","10,104.20",11.95,19.61,28.28,59.58,42.26,10.85,0.33,6.6,0.0
148,BOSCHLTD,DEC'13,"88,200.60","3,526.20","91,726.80","75,290.40","16,436.40","16,407.50",28.9,"16,378.60","8,846.80","3,718.70",281.75,2,"2,004.55","1,179.20",550,"8,756.70","7,468.00",8.94,14.91,20.47,35.8,24.96,5.03,0.55,3.62,0.0
149,BOSCHLTD,DEC'12,"86,590.70","3,692.30","90,283.00","73,097.90","17,185.10","17,129.90",55.2,"17,074.70","9,581.70","3,879.00",305.15,3,"1,774.94","1,037.10",600,"8,659.10","7,309.60",11.82,18.6,24.94,31.05,22.45,5.34,0.63,3.44,0.0
150,BINFRA,31-Mar-17,"60,847.00","10,221.00","71,068.00","32,595.00","38,473.00","45,014.00","-6,541.00","51,555.00","27,050.00","6,307.00",14.49,0,87.79,274.6,160,"6,084.70","4,006.30",12.74,15.38,19.04,22.25,15.55,3.71,4.92,9.89,0.0
151,BINFRA,31-Mar-16,"55,957.00","6,388.00","62,345.00","30,793.00","31,552.00","31,547.00",5,"31,542.00","13,234.00","6,609.00",6.98,1,99.8,257.8,30,"5,558.30","3,138.80",5.92,7.21,10.33,54.61,29.2,3.83,0.78,13.04,0.0
152,BINFRA,31-Mar-15,"53,889.00","20,019.00","73,908.00","29,949.00","43,959.00","43,959.00",0,"43,959.00","27,252.00","5,485.00",14.42,2,94.55,244.4,110,"5,388.90","3,002.10",11.6,15.34,18.3,26.74,18.94,4.07,2.86,13.52,0.0
153,BINFRA,31-Mar-14,"49,993.00","5,302.00","55,295.00","29,224.00","26,071.00","25,980.00",91,"25,889.00","10,899.00","4,067.00",5.77,3,93.26,215.1,44,"4,999.30","2,924.20",4.76,6.2,8.5,35.3,17.56,2.18,2.16,7.7,0.0
154,BINFRA,01-Jul-13,"44,601.00","6,558.00","51,159.00","26,881.00","24,278.00","24,302.00",7,"24,295.00","10,098.00","3,118.00",5.35,4,92.86,208.7,55,"4,460.10","2,718.70",4.99,6.28,8.16,33.1,15.78,1.91,3.11,7.49,0.0
155,GAIL,31-Mar-16,"5,19,142.00","8,577.00","5,27,718.00","4,76,459.00","51,259.30","44,858.90","6,400.40","38,458.50","22,989.00","8,739.00",18.12,0,241.11,993.57,55,"51,914.15","47,648.10",4.2,7.7,9.86,19.66,12.51,1.48,1.54,0.87,0.0
156,GAIL,31-Mar-15,"5,67,420.00","8,608.60","5,76,028.00","5,20,458.00","55,570.60","52,586.20","3,613.00","48,973.20","30,391.70","12,451.90",23.96,1,229.56,902.62,60,"56,741.98","52,063.67",5.59,10.82,12.22,16.23,12.29,1.69,1.54,0.87,0.0
157,GAIL,31-Mar-14,"5,75,079.00","8,985.20","5,84,064.00","5,08,067.00","75,997.10","75,784.70","3,661.90","72,122.80","43,752.70","20,270.50",34.49,2,213.42,843.5,104,"57,507.93","50,827.60",8.68,17.06,19.17,10.89,8.59,1.76,2.77,0.83,0.0
158,GAIL,01-Jul-13,"4,75,227.00","7,645.10","4,82,872.00","4,10,535.00","72,337.30","70,387.10","1,950.20","68,436.90","40,222.00","20,355.70",31.71,3,191,782.3,96,"47,522.69","41,162.90",9.27,17.54,20.75,10.07,8.09,1.67,3.01,0.85,0.0
159,TATASTEEL,31-Mar-17,"5,32,610.00","4,144.60","5,36,754.00","4,13,850.00","1,22,904.00","88,984.80","26,885.50","62,099.30","34,445.50","19,123.80",33.67,0,0,"4,605.13",100,"47,993.02","36,190.93",0.0,0.0,0.0,0.0,6.71,1.02,0.0,0.0,0.0
160,TATASTEEL,31-Mar-16,"3,82,103.00","38,907.00","4,21,010.00","3,09,986.00","1,11,024.00","80,596.30","14,602.70","65,993.60","49,009.50","12,255.70",48.67,1,0,"4,319.89",80,"38,221.49","30,610.91",0.0,0.0,0.0,0.0,7.92,0.63,0.0,0.0,0.0
161,TATASTEEL,31-Mar-15,"4,17,850.00","5,827.80","4,23,678.00","3,17,762.00","1,05,916.00","1,05,065.00","19,759.50","85,305.50","64,391.20","20,697.70",64.49,2,684.62,"4,601.92",80,"41,785.00","31,853.61",5.67,10.11,11.15,4.78,3.65,0.46,2.52,0.74,0.0
162,TATASTEEL,31-Mar-14,"4,17,110.00","7,876.40","4,24,987.00","2,88,941.00","1,36,045.00","1,16,422.00","18,205.80","98,216.20","64,121.90","33,013.10",66.01,3,627.59,"3,673.08",100,"41,711.03","28,960.75",6.01,11.05,13.11,5.97,4.59,0.63,2.54,0.92,0.0
163,TATASTEEL,01-Jul-13,"3,81,994.00","9,020.40","3,91,015.00","2,70,732.00","1,20,283.00","94,769.80","18,767.70","76,002.10","50,629.70","27,736.30",52.12,4,566.94,"3,602.27",80,"38,199.43","27,204.12",5.1,9.46,11.75,5.99,4.52,0.55,2.56,0.79,0.0
164,AMBUJACEM,DEC'16,"92,678.20","5,762.30","98,440.50","75,851.30","22,589.20","21,874.40",714.8,"21,159.60","9,700.90","3,672.20",4.89,0,96.06,593.72,140,"9,239.88","7,557.19",5.19,6.6,9.57,42.21,22.49,2.15,1.36,4.43,0.0
165,AMBUJACEM,DEC'15,"94,614.00","3,581.90","98,195.90","79,299.30","18,896.60","17,978.70",917.9,"17,060.80","8,075.60","3,646.50",5.21,1,66.41,589.52,140,"9,431.43","7,899.96",5.76,7.92,12.35,39.07,22.01,3.06,1.38,3.35,0.0
166,AMBUJACEM,DEC'14,"99,781.20","4,289.80","1,04,071.00","80,496.80","23,574.20","22,929.40",644.8,"22,284.60","14,963.60","2,870.50",9.67,2,65.13,581.58,250,"9,951.97","8,023.53",11.14,15.3,18.8,23.69,17.67,3.51,2.19,3.56,0.0
167,AMBUJACEM,DEC'13,"91,603.50","3,936.20","95,539.70","75,095.20","20,444.50","20,041.90",650.8,"19,391.10","12,945.70","2,195.50",8.37,3,61.24,502.17,180,"9,149.45","7,482.51",10.24,14.19,17.19,21.82,15.83,2.98,1.97,3.09,0.0
168,AMBUJACEM,DEC'12,"97,303.00","3,488.70","1,00,792.00","72,573.30","28,218.40","24,670.50",756.6,"23,913.90","12,970.60","6,047.70",8.41,4,56.94,478.51,180,"9,686.18","7,213.21",10.87,15.42,23.31,23.89,16.64,3.53,1.79,3.2,0.0
169,ZEEL,31-Mar-17,"49,283.70","3,471.40","52,755.10","34,233.90","18,521.20","17,726.90","1,264.50","16,462.40","10,340.60","6,615.20",10.77,0,46.06,288.9,250,"4,928.40","3,423.40",15.25,25.76,31.27,49.64,46.19,11.61,0.47,10.41,0.0
170,ZEEL,31-Mar-16,"42,065.00","2,226.60","44,291.60","30,306.20","13,985.40","13,957.80",27.6,"13,930.20","8,593.30","4,688.10",7.43,1,37.58,301.5,225,"4,206.50","3,117.60",11.22,21.31,25.79,56.36,51.66,10.28,0.58,8.82,0.0
171,ZEEL,31-Mar-15,"34,261.80","2,272.90","36,534.70","23,814.90","12,719.80","12,702.10",17.7,"12,684.40","8,317.70","3,804.70",7.15,2,26.75,272.9,225,"3,426.20","2,393.90",16.2,36.81,28.36,46.16,36.87,12.77,0.66,9.57,0.0
172,ZEEL,31-Mar-14,"30,756.70","1,845.60","32,602.30","20,442.00","12,160.30","12,088.50",71.8,"12,016.70","7,723.30","4,026.90",8.04,3,20.32,217.3,200,"3,075.70","2,045.20",17.76,29.12,32.27,34.15,32.35,13.37,0.74,8.48,0.0
173,ZEEL,01-Jul-13,"25,658.80","1,189.70","26,848.50","17,036.00","9,812.50","9,799.20",13.3,"9,785.90","6,406.90","3,112.00",6.72,4,35.14,184.8,200,"2,565.90","1,703.60",17.08,20.19,30.01,31.38,30.07,6.0,0.95,7.84,0.0
174,IBULHSGFIN,31-Mar-16,"79,329.30","9,089.87","88,419.20","9,269.12","79,150.10","30,726.00","48,424.10","-17,698.10","22,941.20","7,591.02",58.55,0,249.25,368.63,"2,250.00","8,007.49","1,001.47",3.44,27.01,12.89,11.88,11.78,2.59,6.96,3.4,0.0
175,IBULHSGFIN,31-Mar-15,"62,477.20","9,096.29","71,573.50","7,626.75","63,946.80","25,511.70","38,435.00","-12,923.30","19,782.30","5,549.35",57.18,1,182.51,279.28,"1,300.00","6,291.52",804.06,3.97,33.1,13.86,10.02,9.93,3.06,4.66,3.15,0.0
176,IBULHSGFIN,31-Mar-14,"52,241.10","5,313.50","57,554.60","6,147.67","51,406.90","19,084.40","32,322.50","-13,238.10","15,100.00","3,907.89",45.2,2,163.58,220.57,"1,450.00","5,253.86",587.99,3.65,29.36,13.51,5.23,5.2,1.45,12.27,1.5,0.0
177,IBULHSGFIN,01-Jul-13,"46,580.60",481.37,"47,062.00","4,892.89","42,169.10","16,133.30","26,035.80","-9,902.50","12,279.10","3,762.10",196.46,3,154.34,203.62,"1,000.00","4,460.97",511.31,5.23,42.5,19.56,0.0,0.0,0.0,0.0,0.0,0.0
178,HINDALCO,31-Mar-16,"3,43,177.00","10,662.10","3,53,839.00","3,09,995.00","43,843.70","20,096.10","23,747.60","-3,651.50","6,072.50","1,253.60",2.94,0,179.36,"1,698.06",100,"34,317.66","31,011.01",0.8,1.63,4.7,29.9,9.64,0.49,1.14,0.53,0.0
179,HINDALCO,31-Mar-15,"3,45,250.00","8,822.10","3,54,072.00","3,11,085.00","42,987.30","20,839.40","16,370.90","4,468.50","9,251.60","3,217.50",4.48,1,180.3,"1,589.48",100,"34,525.03","31,153.78",1.24,2.5,4.44,28.83,15.14,0.72,0.77,0.77,0.0
180,HINDALCO,31-Mar-14,"2,78,509.00","11,244.20","2,89,754.00","2,53,590.00","36,163.00","25,086.70","7,116.50","17,970.20","14,133.30","2,720.50",6.84,2,177.83,"1,345.47",100,"27,850.93","25,708.18",2.01,4.03,3.96,20.7,13.08,0.8,0.71,1.05,0.0
181,HINDALCO,01-Jul-13,"2,60,569.00","9,830.90","2,70,400.00","2,38,532.00","31,868.10","27,508.30","4,359.80","23,148.50","16,992.00","3,474.30",8.87,3,174.54,"1,200.80",140,"26,056.93","23,857.64",2.78,5.24,4.92,10.31,7.29,0.52,1.53,0.67,0.0
182,LUPIN,31-Mar-17,"1,27,532.00",884.7,"1,28,416.00","82,670.30","45,745.90","45,451.70",294.2,"45,157.50","31,413.30","10,377.30",69.63,0,323.44,"1,403.03",375,"12,753.15","8,267.03",19.58,23.79,30.41,20.77,18.6,4.47,0.52,5.12,0.0
