,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital
2,ambujacem,MAR'17,"29,224.00","1,019.40","30,243.40","25,283.10","4,960.30","4,583.30",377.00,"4,206.30",0.00,"3,123.50",658.10,"2,465.40",1.24,"3,971.30",0.00
3,ambujacem,DEC'16,"22,310.30",410.80,"22,721.10","19,019.50","3,701.60","3,565.30",136.30,"3,429.00",0.00,"2,002.70",243.90,"1,758.80",0.89,"3,971.30",0.00
4,ambujacem,SEP'16,"20,314.40","2,231.80","22,546.20","17,282.80","5,263.40","5,071.90",191.50,"4,880.40",0.00,"3,477.00",706.80,"2,770.20",1.40,"3,971.30",0.00
0,zeel,JUN'17,"13,025.70","3,823.00","16,848.70","8,403.10","8,445.60","8,302.60",143.00,"8,159.60",0.00,"8,091.70","2,326.50","5,765.20",6.00,960.40,0.00
1,zeel,JUN'17,"13,025.70","3,823.00","16,848.70","8,403.10","8,445.60","8,302.60",143.00,"8,159.60",0.00,"8,091.70","2,326.50","5,765.20",6.00,960.40,0.00
2,zeel,MAR'17,"11,989.00",691.40,"12,680.40","7,582.80","5,097.60","4,490.90","1,076.90","3,414.00",0.00,"4,281.60","1,660.90","2,620.70",2.73,960.40,0.00
3,zeel,DEC'16,"12,758.50",-164.90,"12,593.60","7,726.30","4,867.30","4,805.00",62.30,"4,742.70",0.00,"4,613.10","1,874.20","2,738.90",2.85,960.40,0.00
4,zeel,SEP'16,"12,750.80",848.20,"13,599.00","8,514.80","5,084.20","5,021.80",62.40,"4,959.40",0.00,"4,835.40","1,558.00","3,277.40",3.41,960.40,0.00
0,ibulhsgfin,JUN'17,"27,892.80","2,606.39","30,499.20","3,362.84","27,136.40","9,953.75","17,182.70","-7,228.95",0.00,"9,891.17","2,550.63","7,340.54",17.31,848.70,0.00
1,ibulhsgfin,JUN'17,"27,892.80","2,606.39","30,499.20","3,362.84","27,136.40","9,953.75","17,182.70","-7,228.95",0.00,"9,891.17","2,550.63","7,340.54",17.31,848.70,0.00
2,ibulhsgfin,MAR'17,"28,124.80","2,886.79","31,011.60","4,340.52","26,671.10","9,563.59","17,107.50","-7,543.91",0.00,"9,506.19","1,289.16","8,217.03",19.39,847.71,0.00
3,ibulhsgfin,DEC'16,"25,146.90","4,131.59","29,278.50","2,983.46","26,295.00","10,185.90","16,109.10","-5,923.20",0.00,"10,133.20","2,602.21","7,530.97",17.80,847.50,0.00
4,ibulhsgfin,SEP'16,"23,969.90","3,633.70","27,603.60","2,946.17","24,657.50","8,583.85","16,073.60","-7,489.75",0.00,"8,534.33","2,123.26","6,411.07",15.20,843.79,0.00
0,hindalco,MAR'17,"1,17,471.00","2,225.70","1,19,697.00","1,03,998.00","15,698.10","10,286.80","5,411.30","4,875.50",0.00,"6,484.70","1,456.80","5,025.20",2.40,"2,227.20",0.00
1,hindalco,DEC'16,"93,135.60","2,199.70","95,335.30","81,283.40","14,051.90","8,172.90","5,879.00","2,293.90",0.00,"4,593.40","1,389.50","3,205.60",1.56,"2,050.10",0.00
2,hindalco,SEP'16,"90,122.80","3,363.90","93,486.70","78,559.00","14,927.70","9,833.90","5,942.70","3,891.20",0.00,"6,317.90","1,928.50","4,397.40",2.14,"2,049.10",0.00
3,hindalco,JUN'16,"75,973.40","2,184.20","78,157.60","64,648.40","13,509.20","7,513.50","5,995.70","1,517.80",0.00,"4,131.40","1,188.70","2,942.70",1.44,"2,048.90",0.00
4,hindalco,MAR'16,"86,675.20","2,041.40","88,716.60","75,010.90","13,705.70","7,958.80","5,746.90","2,211.90",0.00,"4,546.50",983.20,"3,563.30",1.73,"2,065.20",0.00
0,lupin,MAR'17,"29,264.20",392.90,"29,657.10","22,573.10","7,084.00","7,006.00",78.00,"6,928.00",0.00,"5,956.30",465.80,"5,490.50",12.16,903.20,0.00
1,lupin,DEC'16,"32,955.20",896.10,"33,851.30","20,611.00","13,240.30","13,151.90",88.40,"13,063.50",0.00,"12,226.50","3,631.80","8,594.70",19.06,902.90,0.00
2,lupin,SEP'16,"29,512.80",189.50,"29,702.30","20,473.50","9,228.90","9,219.50",9.40,"9,210.10",0.00,"8,355.40","1,824.60","6,530.80",14.49,902.30,0.00
3,lupin,JUN'16,"35,516.90",749.00,"36,265.90","20,150.20","16,115.70","16,074.30",41.40,"16,032.90",0.00,"15,252.40","4,455.10","10,797.30",23.96,901.80,0.00
4,lupin,MAR'16,"32,685.10",265.20,"32,950.30","19,122.00","13,828.30","13,723.90",104.40,"13,619.50",0.00,"12,925.30","3,676.00","9,249.30",20.54,901.20,0.00
0,cipla,MAR'17,"26,951.70",305.70,"27,257.40","25,124.20","2,133.20","2,093.00",40.20,"2,052.80",0.00,841.30,582.70,258.60,0.32,"1,609.00",0.00
1,cipla,DEC'16,"26,750.00",446.80,"27,196.80","21,430.20","5,766.60","5,613.50",153.10,"5,460.40",0.00,"4,264.40",852.10,"3,412.30",4.25,"1,608.80",0.00
2,cipla,SEP'16,"28,139.90",327.70,"28,467.60","23,621.90","4,845.70","4,777.70",68.00,"4,709.70",0.00,"3,488.30",195.90,"3,292.40",4.10,"1,608.40",0.00
3,cipla,JUN'16,"27,412.40",311.90,"27,724.30","23,208.20","4,516.10","4,386.90",129.20,"4,257.70",0.00,"3,277.30",489.80,"2,787.50",3.47,"1,607.20",0.00
4,cipla,MAR'16,"27,408.90",517.50,"27,926.40","26,360.80","1,565.60","1,306.10",259.50,"1,046.60",0.00,158.70,-187.50,346.20,0.43,"1,606.80",0.00
0,auropharma,MAR'17,"24,200.90",512.20,"24,713.10","18,401.00","6,312.10","6,221.50",90.60,"6,130.90",0.00,"5,487.70",933.10,"4,554.60",7.78,585.90,0.00
1,auropharma,DEC'16,"25,213.70",291.00,"25,504.70","18,869.90","6,634.80","6,532.80",102.00,"6,430.80",0.00,"5,821.40","1,411.20","4,410.20",7.53,585.20,0.00
2,auropharma,SEP'16,"24,101.60",347.20,"24,448.80","18,170.70","6,278.10","6,158.80",119.30,"6,039.50",0.00,"5,446.30","1,253.90","4,192.40",7.16,585.20,0.00
3,auropharma,JUN'16,"23,897.60",209.00,"24,106.60","18,232.70","5,873.90","5,734.20",139.70,"5,594.50",0.00,"5,030.20","1,119.90","3,910.30",6.68,585.20,0.00
4,auropharma,MAR'16,"24,058.50",139.90,"24,198.40","17,971.70","6,226.70","6,065.10",161.60,"5,903.50",0.00,"5,394.00","1,315.50","4,078.50",6.97,585.20,0.00
0,techm,JUN'17,"57,535.40","3,954.70","61,490.10","49,772.10","11,718.00","11,545.80",172.20,"11,373.60",0.00,"10,067.20","2,113.40","7,953.80",8.17,"4,875.10",0.00
1,techm,MAR'17,"59,235.80","1,585.70","60,821.50","51,214.80","9,606.70","9,487.20",119.50,"9,367.70",0.00,"7,710.80","1,853.40","5,857.40",6.03,"4,867.70",0.00
2,techm,DEC'16,"59,128.60","1,783.40","60,912.00","48,913.60","11,998.40","11,796.40",202.00,"11,594.40",0.00,"10,249.80","1,730.90","8,518.90",8.78,"4,862.60",0.00
3,techm,SEP'16,"56,821.90","3,810.20","60,632.10","47,657.40","12,974.70","12,804.60",170.10,"12,634.50",0.00,"11,326.50","2,604.40","8,722.10",8.99,"4,856.80",0.00
4,techm,JUN'16,"56,467.60","1,750.10","58,217.70","47,150.30","11,067.40","10,921.10",146.30,"10,774.80",0.00,"9,500.10","2,125.30","7,374.80",7.61,"4,852.60",0.00
0,drreddy,JUN'17,"20,897.00",488.00,"21,385.00","19,413.00","1,972.00","1,808.00",164.00,"1,644.00",0.00,-102.00,-29.00,-73.00,-0.44,829.00,0.00
1,drreddy,JUN'17,"20,897.00",488.00,"21,385.00","19,413.00","1,972.00","1,808.00",164.00,"1,644.00",0.00,-102.00,-29.00,-73.00,-0.44,829.00,0.00
2,drreddy,JUN'17,"20,897.00",488.00,"21,385.00","19,413.00","1,972.00","1,808.00",164.00,"1,644.00",0.00,-102.00,-29.00,-73.00,-0.44,829.00,0.00
3,drreddy,JUN'17,"20,897.00",488.00,"21,385.00","19,413.00","1,972.00","1,808.00",164.00,"1,644.00",0.00,-102.00,-29.00,-73.00,-0.44,829.00,0.00
4,drreddy,JUN'17,"20,897.00",488.00,"21,385.00","19,413.00","1,972.00","1,808.00",164.00,"1,644.00",0.00,-102.00,-29.00,-73.00,-0.44,829.00,0.00
0,bankbaroda,MAR'17,"1,08,752.00","19,772.80","1,28,524.00","25,389.70","30,201.70",0.00,"72,933.00","-72,933.00",0.00,"3,972.00","2,424.80","1,547.20",0.67,"4,620.90",0.00
1,bankbaroda,DEC'16,"1,04,061.00","17,749.60","1,21,810.00","23,141.10","25,952.10","5,157.10","72,717.20","-67,560.10",0.00,"5,157.10","2,630.40","2,526.70",1.10,"4,620.90",0.00
2,bankbaroda,SEP'16,"1,04,852.00","15,614.30","1,20,466.00","22,973.30","26,902.00","8,943.60","70,590.70","-61,647.10",0.00,"8,943.60","3,422.40","5,521.20",2.39,"4,620.90",0.00
3,bankbaroda,JUN'16,"1,04,335.00","14,443.90","1,18,779.00","21,459.90","26,694.90","6,654.20","70,624.30","-63,970.10",0.00,"6,654.20","2,418.00","4,236.20",1.84,"4,620.90",0.00
4,bankbaroda,MAR'16,"1,10,144.00","17,746.80","1,27,891.00","25,326.30","25,724.60",0.00,"76,839.70","-76,839.70",0.00,"-42,852.00","-10,550.60","-32,301.40",-14.02,"4,620.90",0.00
0,accltd,JUN'17,"39,585.70",259.60,"39,845.30","33,231.40","6,613.90","6,388.90",225.00,"6,163.90",0.00,"4,767.80","1,550.30","3,217.50",17.13,"1,879.90",0.00
1,accltd,MAR'17,"36,310.50",357.20,"36,667.70","32,149.10","4,518.60","4,266.90",251.70,"4,015.20",0.00,"2,616.70",501.70,"2,115.00",11.26,"1,879.90",0.00
2,accltd,DEC'16,"27,313.20",167.90,"27,481.10","24,771.00","2,710.10","2,097.20",184.80,"1,912.40",0.00,418.70,-64.10,482.80,2.57,"1,879.90",0.00
3,accltd,SEP'16,"25,191.90",257.70,"25,449.60","22,458.20","2,991.40","2,794.40",197.00,"2,597.40",0.00,"1,265.00",424.00,841.00,4.48,"1,879.90",0.00
4,accltd,JUN'16,"29,172.30",212.30,"29,384.60","24,606.60","4,778.00","4,594.70",183.30,"4,411.40",0.00,"3,184.70",806.40,"2,378.30",12.67,"1,879.90",0.00
0,tatapower,MAR'17,"18,904.90","1,551.60","20,456.50","14,290.40","6,166.10","-3,372.50","3,624.10","-6,996.60",0.00,"-4,972.30",961.90,"-5,934.20",-2.30,"2,705.00",0.00
1,tatapower,DEC'16,"17,333.80","1,948.50","19,282.30","13,027.20","6,255.10","3,277.00","3,488.10",-211.10,0.00,"1,663.80","-1,162.40","2,826.20",0.94,"2,705.00",0.00
2,tatapower,SEP'16,"17,203.70","4,929.40","22,133.10","11,857.70","10,275.40","7,803.30","3,202.10","4,601.20",0.00,"6,224.60","1,751.20","4,473.40",1.55,"2,704.80",0.00
3,tatapower,JUN'16,"18,738.20","1,255.40","19,993.60","12,455.50","7,538.10","3,695.60","2,642.50","1,053.10",0.00,"2,145.20",676.10,"1,469.10",0.44,"2,704.80",0.00
4,tatapower,MAR'16,"20,420.40","1,258.50","21,678.90","14,295.80","7,383.10","2,320.30","2,818.00",-497.70,0.00,627.60,110.40,517.20,0.05,"2,704.80",0.00
